"","OVOL2","ZEB","miR200"
"OVOL2",0.265086475682144,-0.0911253624112439,-0.164791352282854
"miR200",0.174211032686554,-0.0550837965740264,0.0222594224262009
"ZEB",-0.164791352282854,-0.0246069557304636,-0.00299954017220595
