"","OVOL2","miR200","ZEB"
"miR200",0.215234164373375,0.215234164373375,-0.476172253718776
"OVOL2",-0.0194721371066226,-0.0194721371066226,-0.114760980612596
"ZEB",-0.215234164373375,-0.215234164373375,0.383397945065788
