"","miR200","ZEB","OVOL2"
"ZEB",-0.0968800931099335,-0.0640345081126532,0.0407745095233169
"OVOL2",-0.0407745095233169,-0.0451180859306714,-0.0746179696240715
"miR200",0.100917098997234,-0.0314159825207099,-0.0432135339135608
