"","ZEB","OVOL2","miR200"
"ZEB",-0.0808447686903907,-0.0264330472877107,0.0829580827283772
"OVOL2",-0.0348875494513169,-0.0410627217680593,-0.0829580827283772
"miR200",-0.00699347097657333,0.0436744265980556,-0.0829580827283772
