states,flag,Avg0,SD0,frust0
'1000000000000111110010',1,0.0222,0.0018457157599876166,0.08536585365853659
'1000000000000111111110',1,0.08243333333333333,0.0006847546194724712,0.024390243902439025
'1000000000000111111111',1,0.08173333333333334,0.0021791945504908206,0.024390243902439025
'1000000000000111111011',1,0.023266666666666668,0.0011264496832477198,0.06097560975609756
'1000000000000111110111',1,0.07733333333333332,0.003296799795087488,0.04878048780487805
'0111111111111000001000',1,0.07633333333333335,0.0027980151695244414,0.04878048780487805
'1000000000000111110110',1,0.07546666666666667,0.0012970050972229126,0.04878048780487805
'0111111111111000000100',1,0.021033333333333334,0.0015755069730795288,0.06097560975609756
'0111111111111000001001',1,0.07513333333333334,0.00040276819911982026,0.04878048780487805
'0001111011000011111000',1,0.007266666666666667,0.0005249338582674542,0.3170731707317073
'1000010001000111110011',1,0.014833333333333332,0.0003299831645537223,0.24390243902439024
'0111111111111000000000',1,0.08386666666666666,0.0011897712198383206,0.024390243902439025
'1000010001000111110010',1,0.009333333333333334,0.00112644968324772,0.24390243902439024
'1110000100010100100111',1,0.0036666666666666666,0.000262466929133727,0.3170731707317073
'0111111111111000001100',1,0.021933333333333332,0.000873053390247252,0.08536585365853659
'1110000100111100001111',1,0.005233333333333333,0.00016996731711975955,0.34146341463414637
'0001111011000011110000',1,0.0056,0.000725718035235908,0.34146341463414637
'1000000000000111111010',1,0.02256666666666667,0.0011953614051360738,0.06097560975609756
'0111111111111000000101',1,0.023533333333333333,0.0014383632673594289,0.06097560975609756
'1110000100111100000111',1,0.009033333333333332,0.0007133644853010899,0.3170731707317073
'0111101110111000001100',1,0.014533333333333334,0.0008013876853447539,0.24390243902439024
'1000010001000111111011',1,0.014199999999999999,0.0014165686240583848,0.21951219512195122
'0111111111111000001101',1,0.022500000000000003,0.0006377042156569657,0.08536585365853659
'0111111111111000000001',1,0.07696666666666667,0.0009463379711052233,0.024390243902439025
'0001111011101011011000',1,0.0037,0.000816496580927726,0.3170731707317073
'1110000100111100000110',1,0.007899999999999999,0.000852447456836295,0.2926829268292683
'1000000000000111110011',1,0.02316666666666667,0.0028534579412043595,0.08536585365853659
'1000010001000111111010',1,0.016233333333333332,0.0008498365855987966,0.21951219512195122
'1110000100111100001110',1,0.006366666666666666,0.0007845734863959883,0.3170731707317073
'0001111011000011110001',1,0.0067,0.0006480740698407863,0.3170731707317073
'1110000100010100100110',1,0.004266666666666668,0.00018856180831641276,0.3170731707317073
'0111101110111000000100',1,0.014433333333333334,0.0012918548250050743,0.21951219512195122
'0001111011000011111001',1,0.008533333333333332,0.001027402333828163,0.2926829268292683
'0111101110111000000101',1,0.014899999999999998,0.000374165738677394,0.21951219512195122
'0111101110111000001101',1,0.0097,0.0004242640687119284,0.24390243902439024
'1000010001101111010010',1,0.005266666666666667,0.00030912061651652346,0.36585365853658536
'0111101110010000101101',1,0.0054333333333333326,0.00044969125210773486,0.36585365853658536
'0001111011101011011001',1,0.0034,0.0001632993161855451,0.3170731707317073
