states,Avg0,SD0,frust0
'0111111111111000000100',0.045566666666666665,0.0011440668201153682,0.06097560975609756
'0111111111111000001101',0.03523333333333334,0.002456736769691769,0.08536585365853659
'1000000000000111110110',0.068,0.0011430952132988152,0.04878048780487805
'0101111011100011111010',0.0111,0.0004898979485566355,0.32926829268292684
'0111111111111000000101',0.0464,0.0012027745701779162,0.06097560975609756
'1000000000000111111110',0.09000000000000001,0.0014854853303438128,0.024390243902439025
'0111111111111000001100',0.036333333333333336,0.00032998316455372297,0.08536585365853659
'0111111111111000000001',0.08560000000000001,0.003569313659514949,0.024390243902439025
'1000000000000111110111',0.0682,0.0012083045973594554,0.04878048780487805
'1000000000000111111111',0.08946666666666665,0.0037366057086910052,0.024390243902439025
'0101111011100011111011',0.0134,0.0006683312551921135,0.3048780487804878
'1000000000000111111010',0.044399999999999995,0.001986621923433513,0.06097560975609756
'0111111111111000000000',0.09066666666666667,0.0008178562764256907,0.024390243902439025
'0111111111111000001000',0.069,0.0019304576314093697,0.04878048780487805
'1010000100011100000100',0.013666666666666667,0.00038586123009300816,0.3048780487804878
'1000000000000111111011',0.04566666666666667,0.0016418147141366332,0.06097560975609756
'1000000000000111110011',0.03443333333333334,0.003426692606905705,0.08536585365853659
'1000000000000111110010',0.035366666666666664,0.001721110752456745,0.08536585365853659
'1010000100011100000101',0.0112,0.00043204937989385715,0.32926829268292684
'0111111111111000001001',0.06629999999999998,0.0016872067646458316,0.04878048780487805
