"","GRHL2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200"
"GRHL2",1,-0.320792569471013,1,-0.0884541622943854,-1,0.320792569471013,-0.0456262745693786
"OCT4",-0.320792569471013,1,-0.320792569471013,0.0144148551633717,0.320792569471013,-1,0.413044032414659
"OVOL2",1,-0.320792569471013,1,-0.0884541622943854,-1,0.320792569471013,-0.0456262745693786
"SNAIL",-0.0884541622943854,0.0144148551633717,-0.0884541622943854,1,0.0884541622943854,-0.0144148551633717,0.601365995183082
"ZEB",-1,0.320792569471013,-1,0.0884541622943854,1,-0.320792569471013,0.0456262745693786
"miR145",0.320792569471013,-1,0.320792569471013,-0.0144148551633717,-0.320792569471013,1,-0.413044032414659
"miR200",-0.0456262745693786,0.413044032414659,-0.0456262745693786,0.601365995183082,0.0456262745693786,-0.413044032414659,1
