"","GRHL2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200"
"GRHL2",1,-0.399700740620922,1,-0.190596610078356,-1,0.399700740620922,0.0287136108390074
"OCT4",-0.399700740620922,1,-0.399700740620922,0.0265119458811788,0.399700740620922,-1,0.355877307774536
"OVOL2",1,-0.399700740620922,1,-0.190596610078356,-1,0.399700740620922,0.0287136108390074
"SNAIL",-0.190596610078356,0.0265119458811788,-0.190596610078356,1,0.190596610078356,-0.0265119458811788,-0.617611525590732
"ZEB",-1,0.399700740620922,-1,0.190596610078356,1,-0.399700740620922,-0.0287136108390074
"miR145",0.399700740620922,-1,0.399700740620922,-0.0265119458811788,-0.399700740620922,1,-0.355877307774536
"miR200",0.0287136108390074,0.355877307774536,0.0287136108390074,-0.617611525590732,-0.0287136108390074,-0.355877307774536,1
