"","GRHL2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200"
"GRHL2",1,-0.0223207337494319,0.163447073201406,0.000699579635108058,-0.163447073201406,0.0223207337494319,-0.00250078551522046
"OCT4",-0.0223207337494319,1,-0.369632911387362,0.020116784696544,0.369632911387362,-1,0.370436252039526
"OVOL2",0.163447073201406,-0.369632911387362,1,-0.166450143522491,-1,0.369632911387362,0.118607219044675
"SNAIL",0.000699579635108058,0.020116784696544,-0.166450143522491,1,0.166450143522491,-0.020116784696544,-0.609447381093725
"ZEB",-0.163447073201406,0.369632911387362,-1,0.166450143522491,1,-0.369632911387362,-0.118607219044675
"miR145",0.0223207337494319,-1,0.369632911387362,-0.020116784696544,-0.369632911387362,1,-0.370436252039526
"miR200",-0.00250078551522046,0.370436252039526,0.118607219044675,-0.609447381093725,-0.118607219044675,-0.370436252039526,1
