"","GRHL2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200"
"GRHL2",1,-0.461529384740696,1,-0.289843542072977,-1,0.461529384740696,0.181192289720473
"OCT4",-0.461529384740696,1,-0.461529384740696,0.0331132297883955,0.461529384740696,-1,0.357277269101653
"OVOL2",1,-0.461529384740696,1,-0.289843542072977,-1,0.461529384740696,0.181192289720473
"SNAIL",-0.289843542072977,0.0331132297883955,-0.289843542072977,1,0.289843542072977,-0.0331132297883955,-0.609607509728926
"ZEB",-1,0.461529384740696,-1,0.289843542072977,1,-0.461529384740696,-0.181192289720473
"miR145",0.461529384740696,-1,0.461529384740696,-0.0331132297883955,-0.461529384740696,1,-0.357277269101653
"miR200",0.181192289720473,0.357277269101653,0.181192289720473,-0.609607509728926,-0.181192289720473,-0.357277269101653,1
