"","GRHL2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200"
"GRHL2",1,-0.00140040212783246,1,-0.108087036552432,-1,0.54563789348926,0.203163306619262
"OCT4",-0.00140040212783246,1,-0.00140040212783246,0.00020232406245093,0.00140040212783246,-0.4557688201498,0.487588817782635
"OVOL2",1,-0.00140040212783246,1,-0.108087036552432,-1,0.54563789348926,0.203163306619262
"SNAIL",-0.108087036552432,0.00020232406245093,-0.108087036552432,1,0.108087036552432,-0.0508388513029305,-0.512208957273149
"ZEB",-1,0.00140040212783246,-1,0.108087036552432,1,-0.54563789348926,-0.203163306619262
"miR145",0.54563789348926,-0.4557688201498,0.54563789348926,-0.0508388513029305,-0.54563789348926,1,-0.122700679862888
"miR200",0.203163306619262,0.487588817782635,0.203163306619262,-0.512208957273149,-0.203163306619262,-0.122700679862888,1
