"Network","JSD0","JSDAll","MinCoh","MeanCoh","MaxCoh"
"GRHL2-ZEB_2-0",0.031566356880324,0.031566356880324,"0.242857142857143","0.481428571428571","0.605714285714286"
"GRHL2-ZEB_2-1",0.0304119406475769,0.0304119406475769,"0.267142857142857","0.470571428571429","0.604285714285714"
"miR145-OCT4_2-0",0.153427362576897,0.153427362576897,"0.11","0.376031746031746","0.571428571428571"
"miR145-OCT4_2-1",1,1,"0.418571428571429","0.572142857142857","0.788571428571429"
"miR145-ZEB_2-0",0.00564107975857927,0.00564107975857927,"0.181428571428571","0.434880952380952","0.6"
"miR145-ZEB_2-1",0.00971328115797977,0.00971328115797977,"0.28","0.431547619047619","0.588571428571429"
"miR200-ZEB_2-0",0.00459986015804366,0.00459986015804366,"0.184285714285714","0.433690476190476","0.697142857142857"
"miR200-ZEB_2-1",0.00582209219703049,0.00582209219703049,"0.178571428571429","0.439880952380952","0.672857142857143"
"OCT4-miR145_2-0",0.194376782447219,0.194376782447219,"0.412857142857143","0.586666666666667","0.714285714285714"
"OCT4-miR145_2-1",0.196832878980871,0.196832878980871,"0.337142857142857","0.56452380952381","0.714285714285714"
"OCT4-miR200_1-0",0.118359623631005,0.118359623631005,"0.385714285714286","0.570535714285714","0.727142857142857"
"OCT4-miR200_2-1",0.256034440790977,0.256034440790977,"0.257142857142857","0.441309523809524","0.748571428571429"
"OVOL2-miR200_2-0",0.0911071854595938,0.0911071854595938,"0.491428571428571","0.603214285714286","0.724285714285714"
"OVOL2-miR200_2-1",0.188657281533161,0.188657281533161,"0.415714285714286","0.529285714285714","0.724285714285714"
"OVOL2-OVOL2_2-0",1.0119317526242e-05,1.0119317526242e-05,"0.18","0.449285714285714","0.645714285714286"
"OVOL2-OVOL2_2-1",0.269586078653133,0.269586078653133,"0.148571428571429","0.338896103896104","0.568571428571429"
"OVOL2-ZEB_2-0",0.0320497824062467,0.0320497824062467,"0.264285714285714","0.483857142857143","0.597142857142857"
"OVOL2-ZEB_2-1",0.0306474768423502,0.0306474768423502,"0.247142857142857","0.456857142857143","0.594285714285714"
"SNAIL-miR200_2-0",0.214750390890859,0.214750390890859,"0.494285714285714","0.591785714285714","0.688571428571429"
"SNAIL-miR200_2-1",0.412766287233084,0.412766287233084,"0.262857142857143","0.452619047619048","0.688571428571429"
"SNAIL-ZEB_1-0",0.00202323081091468,0.00202323081091468,"0.19","0.466190476190476","0.7"
"SNAIL-ZEB_1-2",0.00758207219573577,0.00758207219573577,"0.285714285714286","0.456428571428571","0.702857142857143"
"wild",0,0,"0.177142857142857","0.448452380952381","0.635714285714286"
"ZEB-GRHL2_2-0",0.250087497722533,0.250087497722533,"0.09","0.314675324675325","0.505714285714286"
"ZEB-GRHL2_2-1",1,1,"0.258571428571429","0.464142857142857","0.597142857142857"
"ZEB-miR145_2-0",0.0119997923111098,0.0119997923111098,"0.252857142857143","0.456904761904762","0.638571428571429"
"ZEB-miR145_2-1",0.0404440017199054,0.0404440017199054,"0.297142857142857","0.443928571428571","0.702857142857143"
"ZEB-miR200_2-0",0.24466544764107,0.24466544764107,"0.39","0.572142857142857","0.707142857142857"
"ZEB-miR200_2-1",0.29043671133798,0.29043671133798,"0.288571428571429","0.478142857142857","0.724285714285714"
"ZEB-OVOL2_2-1",1,1,"0.33","0.484142857142857","0.738571428571429"
"ZEB-ZEB_1-0",0.0351266904910668,0.0351266904910668,"0.222857142857143","0.477857142857143","0.604285714285714"
"ZEB-ZEB_1-2",0.0350435956651341,0.0350435956651341,"0.205714285714286","0.467","0.601428571428571"
