"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.258947902394731,-1,-1
"SNAIL",-0.258947902394731,1,0.258947902394731,0.258947902394731
"ZEB",-1,0.258947902394731,1,1
"miR200",-1,0.258947902394731,1,1
