"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.00756692133580381,-0.00756692133580381,0.00756692133580381
"SNAIL",-0.00756692133580381,1,1,-1
"ZEB",-0.00756692133580381,1,1,-1
"miR200",0.00756692133580381,-1,-1,1
