"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.330732959197075,-1,1
"SNAIL",-0.330732959197075,1,0.330732959197075,-0.330732959197075
"ZEB",-1,0.330732959197075,1,-1
"miR200",1,-0.330732959197075,-1,1
