"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.00229372076715281,-0.00229372076715281,0.00229372076715283
"SNAIL",-0.00229372076715281,1,1,-1
"ZEB",-0.00229372076715281,1,1,-1
"miR200",0.00229372076715283,-1,-1,1
