"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.163714919078369,-1,0.16371491907837
"SNAIL",-0.163714919078369,1,0.163714919078369,-1
"ZEB",-1,0.163714919078369,1,-0.16371491907837
"miR200",0.16371491907837,-1,-0.16371491907837,1
