"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.00202687102774801,-0.00202687102774801,0.00202687102774801
"SNAIL",-0.00202687102774801,1,1,-1
"ZEB",-0.00202687102774801,1,1,-1
"miR200",0.00202687102774801,-1,-1,1
