"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,0.000901754021497839,0.000901754021497839,-0.000901754021497819
"SNAIL",0.000901754021497839,1,1,-1
"ZEB",0.000901754021497839,1,1,-1
"miR200",-0.000901754021497819,-1,-1,1
