"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.00748710200610665,-1,0.00748710200610665
"SNAIL",-0.00748710200610665,1,0.00748710200610665,-1
"ZEB",-1,0.00748710200610665,1,-0.00748710200610665
"miR200",0.00748710200610665,-1,-0.00748710200610665,1
