"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.00158989075790958,-0.00158989075790958,0.00158989075790955
"SNAIL",-0.00158989075790958,1,1,-1
"ZEB",-0.00158989075790958,1,1,-1
"miR200",0.00158989075790955,-1,-1,1
