"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,0.00825433454441581,0.00825433454441581,-0.00825433454441581
"SNAIL",0.00825433454441581,1,1,-1
"ZEB",0.00825433454441581,1,1,-1
"miR200",-0.00825433454441581,-1,-1,1
