"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.00972581203941898,-0.00972581203941898,0.00972581203941896
"SNAIL",-0.00972581203941898,1,1,-1
"ZEB",-0.00972581203941898,1,1,-1
"miR200",0.00972581203941896,-1,-1,1
