"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,0.0058032975983223,-1,-1
"SNAIL",0.0058032975983223,1,-0.0058032975983223,-0.0058032975983223
"ZEB",-1,-0.0058032975983223,1,1
"miR200",-1,-0.0058032975983223,1,1
