"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-3.20128454768324e-07,-3.20128454768324e-07,3.20128454763194e-07
"SNAIL",-3.20128454768324e-07,1,1,-1
"ZEB",-3.20128454768324e-07,1,1,-1
"miR200",3.20128454763194e-07,-1,-1,1
