"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,0.00010342124272418,-1,-0.000103421242724159
"SNAIL",0.00010342124272418,1,-0.00010342124272418,-1
"ZEB",-1,-0.00010342124272418,1,0.000103421242724159
"miR200",-0.000103421242724159,-1,0.000103421242724159,1
