"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.178640888433126,-1,0.178640888433126
"SNAIL",-0.178640888433126,1,0.178640888433126,-1
"ZEB",-1,0.178640888433126,1,-0.178640888433126
"miR200",0.178640888433126,-1,-0.178640888433126,1
