"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.00100777875232039,-0.00100777875232039,0.00100777875232041
"SNAIL",-0.00100777875232039,1,1,-1
"ZEB",-0.00100777875232039,1,1,-1
"miR200",0.00100777875232041,-1,-1,1
