"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.173541588579675,-1,1
"SNAIL",-0.173541588579675,1,0.173541588579675,-0.173541588579675
"ZEB",-1,0.173541588579675,1,-1
"miR200",1,-0.173541588579675,-1,1
