"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.00591568369439382,-0.00591568369439382,0.00591568369439384
"SNAIL",-0.00591568369439382,1,1,-1
"ZEB",-0.00591568369439382,1,1,-1
"miR200",0.00591568369439384,-1,-1,1
