"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.429976651843659,-1,1
"SNAIL",-0.429976651843659,1,0.429976651843659,-0.429976651843659
"ZEB",-1,0.429976651843659,1,-1
"miR200",1,-0.429976651843659,-1,1
