"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.00638836981773084,-0.00638836981773084,0.00638836981773084
"SNAIL",-0.00638836981773084,1,1,-1
"ZEB",-0.00638836981773084,1,1,-1
"miR200",0.00638836981773084,-1,-1,1
