"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.107732592233315,-1,0.107732592233315
"SNAIL",-0.107732592233315,1,0.107732592233315,-1
"ZEB",-1,0.107732592233315,1,-0.107732592233315
"miR200",0.107732592233315,-1,-0.107732592233315,1
