"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,0.00110715099599788,0.00110715099599788,-0.00110715099599788
"SNAIL",0.00110715099599788,1,1,-1
"ZEB",0.00110715099599788,1,1,-1
"miR200",-0.00110715099599788,-1,-1,1
