"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.245863391437982,-1,0.245863391437982
"SNAIL",-0.245863391437982,1,0.245863391437982,-1
"ZEB",-1,0.245863391437982,1,-0.245863391437982
"miR200",0.245863391437982,-1,-0.245863391437982,1
