"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.00250094689192453,-0.00250094689192453,0.00250094689192454
"SNAIL",-0.00250094689192453,1,1,-1
"ZEB",-0.00250094689192453,1,1,-1
"miR200",0.00250094689192454,-1,-1,1
