"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.0114138987792791,-0.0114138987792791,0.0114138987792791
"SNAIL",-0.0114138987792791,1,1,-1
"ZEB",-0.0114138987792791,1,1,-1
"miR200",0.0114138987792791,-1,-1,1
