"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,0.00749952420333285,-1,-0.00749952420333283
"SNAIL",0.00749952420333285,1,-0.00749952420333285,-1
"ZEB",-1,-0.00749952420333285,1,0.00749952420333283
"miR200",-0.00749952420333283,-1,0.00749952420333283,1
