"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.0864757134007112,-1,0.0864757134007112
"SNAIL",-0.0864757134007112,1,0.0864757134007112,-1
"ZEB",-1,0.0864757134007112,1,-0.0864757134007112
"miR200",0.0864757134007112,-1,-0.0864757134007112,1
