"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,0.0049880742409999,-1,-0.0049880742409999
"SNAIL",0.0049880742409999,1,-0.00498807424099992,-1
"ZEB",-1,-0.00498807424099992,1,0.00498807424099992
"miR200",-0.0049880742409999,-1,0.00498807424099992,1
