"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.00569481994483559,-0.00569481994483559,-0.342999421849734
"SNAIL",-0.00569481994483559,1,1,-0.00313312405284486
"ZEB",-0.00569481994483559,1,1,-0.00313312405284486
"miR200",-0.342999421849734,-0.00313312405284486,-0.00313312405284486,1
