"","OVOL2","SNAIL","ZEB","miR200"
"OVOL2",1,-0.00440841109257244,-0.00440841109257244,0.00440841109257248
"SNAIL",-0.00440841109257244,1,1,-1
"ZEB",-0.00440841109257244,1,1,-1
"miR200",0.00440841109257248,-1,-1,1
