states,Avg0,SD0,frust0
'100011100111111000',0.006733333333333334,0.0005185449728701349,0.2727272727272727
'010101011000001111',0.2574666666666667,0.003791510985814957,0.030303030303030304
'100111100110111000',0.04800000000000001,0.0017146428199482243,0.3333333333333333
'101010100111110000',0.25020000000000003,0.0032259365565160563,0.030303030303030304
'010100011000001111',0.04806666666666667,0.002329997615640171,0.06060606060606061
'100111100110110000',0.015766666666666665,0.001065624490876386,0.2727272727272727
'101011100111110000',0.04803333333333334,0.003256105376400189,0.06060606060606061
'010000011000001111',0.013199999999999998,0.001098483803552272,0.12121212121212122
'011000011001000111',0.05006666666666667,0.002559079695689229,0.3333333333333333
'011000011000001111',0.017533333333333335,0.0009285592184789416,0.15151515151515152
'101011100110110000',0.012633333333333331,0.00038586123009300757,0.18181818181818182
'010100011001001111',0.012699999999999998,0.000374165738677394,0.18181818181818182
'100111100111110000',0.016366666666666665,0.0006018490028422592,0.15151515151515152
'101111100111110000',0.013733333333333334,0.0013123346456686347,0.12121212121212122
'010100011000000111',0.0172,0.0010198039027185567,0.24242424242424243
'011000011001001111',0.017233333333333337,0.0010530379332620871,0.2727272727272727
'011100011001000111',0.012699999999999998,0.0010424330514074594,0.3333333333333333
'010000011000000111',0.0031333333333333335,0.0004714045207910317,0.30303030303030304
'010100011001000111',0.018033333333333332,0.0016027753706895078,0.30303030303030304
'011100011000000111',0.007666666666666666,0.0008219218670625302,0.2727272727272727
'011000011000000111',0.013266666666666668,0.0009104333522498441,0.2727272727272727
'101011100110111000',0.01863333333333333,0.00033993463423951856,0.30303030303030304
'100011100110111000',0.014833333333333332,0.0003399346342395185,0.3333333333333333
'100111100111111000',0.012866666666666667,0.0008730533902472527,0.2727272727272727
'101111100111111000',0.0031333333333333335,0.00032998316455372216,0.30303030303030304
'101011100111111000',0.017366666666666666,0.0007408703590297621,0.24242424242424243
'011100011000001111',0.0026999999999999997,0.0002943920288775949,0.15151515151515152
'101111100110110000',0.0067,0.0005354126134736336,0.24242424242424243
'010000011001001111',0.007066666666666666,0.0003681787005729086,0.24242424242424243
'011100011001001111',0.0031666666666666666,0.0006018490028422597,0.2727272727272727
'100011100111110000',0.0036666666666666666,0.0003771236166328253,0.15151515151515152
'101111100110111000',0.0030666666666666668,0.0006018490028422595,0.36363636363636365
'100011100110110000',0.0029666666666666665,0.0005436502143433362,0.2727272727272727
'010000011001000111',0.0040999999999999995,0.001235583532856709,0.36363636363636365
