"EdgeList","Nature","Cycles","Edge_count"
"AXIN2,AXIN2","P","AXIN2",1
"SNAI1,Ecadherin;SNAI1,TWIST1;TWIST1,Ecadherin","P","Ecadherin,SNAI1,TWIST1",3
"SNAI1,FOXC2;SNAI1,TWIST1;TWIST1,FOXC2","P","FOXC2,SNAI1,TWIST1",3
"SNAI1,TGF;SNAI1,TWIST1;TWIST1,TGF","P","TGF,SNAI1,TWIST1",3
"GLI,SNAI1;SNAI1,TWIST1;TCFLEF,TWIST1;TCFLEF,GLI","P","GLI,SNAI1,TWIST1,TCFLEF",4
"NFB,Csn;Csn,TrCP;TrCP,SNAI1;SNAI1,TWIST1;NFB,TWIST1","P","NFB,Csn,TrCP,SNAI1,TWIST1",5
"Csn,GSK3;Csn,TrCP;TrCP,SNAI1;GSK3,SNAI1","P","GSK3,Csn,TrCP,SNAI1",4
"TGFR,SMAD;TGFR,CDC42;CDC42,PAK1;PAK1,SNAI1;SMAD,SNAI1","P","SMAD,TGFR,CDC42,PAK1,SNAI1",5
"TGF,TGFR;TGFR,CDC42;CDC42,PAK1;PAK1,SNAI1;SNAI1,TGF","P","TGF,TGFR,CDC42,PAK1,SNAI1",5
"SOSGRB2,RAS;TGFR,SOSGRB2;TGFR,CDC42;CDC42,PAK1;PAK1,SNAI1;SNAI1,TWIST1;TCFLEF,TWIST1;TCFLEF,RAS","P","RAS,SOSGRB2,TGFR,CDC42,PAK1,SNAI1,TWIST1,TCFLEF",8
"CD44,cMet;cMet,SOSGRB2;TGFR,SOSGRB2;TGFR,CDC42;CDC42,PAK1;PAK1,SNAI1;SNAI1,TWIST1;TCFLEF,TWIST1;TCFLEF,CD44","P","CD44,cMet,SOSGRB2,TGFR,CDC42,PAK1,SNAI1,TWIST1,TCFLEF",9
"SRC,RAS;cMet,SRC;cMet,SOSGRB2;SOSGRB2,RAS","P","RAS,SRC,cMet,SOSGRB2",4
"STAT,LIV1;SRC,STAT;cMet,SRC;cMet,SOSGRB2;TGFR,SOSGRB2;TGFR,CDC42;CDC42,PAK1;PAK1,SNAI1;LIV1,SNAI1","P","LIV1,STAT,SRC,cMet,SOSGRB2,TGFR,CDC42,PAK1,SNAI1",9
"KLF4,Ecadherin;STAT,KLF4;SRC,STAT;cMet,SRC;cMet,SOSGRB2;TGFR,SOSGRB2;TGFR,CDC42;CDC42,PAK1;PAK1,SNAI1;SNAI1,Ecadherin","N","Ecadherin,KLF4,STAT,SRC,cMet,SOSGRB2,TGFR,CDC42,PAK1,SNAI1",10
"ZEB2,KLF4;STAT,KLF4;SRC,STAT;cMet,SRC;cMet,SOSGRB2;TGFR,SOSGRB2;TGFR,CDC42;CDC42,PAK1;PAK1,SNAI1;SNAI1,ZEB2","N","ZEB2,KLF4,STAT,SRC,cMet,SOSGRB2,TGFR,CDC42,PAK1,SNAI1",10
"MEK,ERK;SOSGRB2,MEK;ERK,SOSGRB2","N","ERK,MEK,SOSGRB2",3
"RKIP,MEK;SOSGRB2,MEK;TGFR,SOSGRB2;TGFR,CDC42;CDC42,PAK1;PAK1,SNAI1;SNAI1,RKIP","P","RKIP,MEK,SOSGRB2,TGFR,CDC42,PAK1,SNAI1",7
"RAS,RAF;RAF,MEK;SOSGRB2,MEK;SOSGRB2,RAS","P","RAS,RAF,MEK,SOSGRB2",4
"ERK,GSK3;ERK,SOSGRB2;TGFR,SOSGRB2;TGFR,CDC42;CDC42,PAK1;PAK1,SNAI1;GSK3,SNAI1","N","GSK3,ERK,SOSGRB2,TGFR,CDC42,PAK1,SNAI1",7
"ERK,RKIP;ERK,SOSGRB2;TGFR,SOSGRB2;TGFR,CDC42;CDC42,PAK1;PAK1,SNAI1;SNAI1,RKIP","N","RKIP,ERK,SOSGRB2,TGFR,CDC42,PAK1,SNAI1",7
"ERK,SMAD;ERK,SOSGRB2;TGFR,SOSGRB2;TGFR,SMAD","N","SMAD,ERK,SOSGRB2,TGFR",4
"ERK,SNAI2;ERK,SOSGRB2;TGFR,SOSGRB2;TGFR,CDC42;CDC42,PAK1;PAK1,SNAI1;SNAI1,TWIST1;TWIST1,SNAI2","N","SNAI2,ERK,SOSGRB2,TGFR,CDC42,PAK1,SNAI1,TWIST1",8
"cfos,EGR1;ERK,cfos;ERK,SOSGRB2;TGFR,SOSGRB2;TGFR,CDC42;CDC42,PAK1;PAK1,SNAI1;EGR1,SNAI1","N","EGR1,cfos,ERK,SOSGRB2,TGFR,CDC42,PAK1,SNAI1",8
"ZEB1,SMAD;SMAD,SNAI1;SNAI1,ZEB1","P","ZEB1,SMAD,SNAI1",3
"SMAD,Jagged;SMAD,SNAI1;SNAI1,TWIST1;TCFLEF,TWIST1;TCFLEF,Jagged","P","Jagged,SMAD,SNAI1,TWIST1,TCFLEF",5
"ZEB2,SMAD;SMAD,SNAI1;SNAI1,ZEB2","N","ZEB2,SMAD,SNAI1",3
"GLI,SHH;SMAD,SHH;SMAD,SNAI1;GLI,SNAI1","P","GLI,SHH,SMAD,SNAI1",4
"SUFU,GLI;FUS,SUFU;SMO,FUS;Patched,SMO;SHH,Patched;GLI,SHH","P","GLI,SUFU,FUS,SMO,Patched,SHH",6
"Destcompl,cateninnuc;SUFU,cateninnuc;FUS,SUFU;SMO,FUS;Patched,SMO;SHH,Patched;SMAD,SHH;SMAD,SNAI1;SNAI1,TWIST1;TCFLEF,TWIST1;TCFLEF,AXIN2;AXIN2,Destcompl","N","Destcompl,cateninnuc,SUFU,FUS,SMO,Patched,SHH,SMAD,SNAI1,TWIST1,TCFLEF,AXIN2",12
"cateninnuc,Destcompl;SUFU,cateninnuc;FUS,SUFU;SMO,FUS;Patched,SMO;SHH,Patched;SMAD,SHH;SMAD,SNAI1;SNAI1,TWIST1;TCFLEF,TWIST1;TCFLEF,AXIN2;AXIN2,Destcompl","P","Destcompl,cateninnuc,SUFU,FUS,SMO,Patched,SHH,SMAD,SNAI1,TWIST1,TCFLEF,AXIN2",12
"cateninnuc,SNAI2;SUFU,cateninnuc;FUS,SUFU;SMO,FUS;Patched,SMO;SHH,Patched;SMAD,SHH;SMAD,SNAI1;SNAI1,TWIST1;TWIST1,SNAI2","P","SNAI2,cateninnuc,SUFU,FUS,SMO,Patched,SHH,SMAD,SNAI1,TWIST1",10
"Ecadherin,cateninnuc;SUFU,cateninnuc;FUS,SUFU;SMO,FUS;Patched,SMO;SHH,Patched;SMAD,SHH;SMAD,SNAI1;SNAI1,Ecadherin","P","Ecadherin,cateninnuc,SUFU,FUS,SMO,Patched,SHH,SMAD,SNAI1",9
"Ecadherin,cateninmemb;cateninmemb,cateninnuc;Ecadherin,cateninnuc","P","Ecadherin,cateninmemb,cateninnuc",3
"cateninmemb,Ecadherin;cateninmemb,cateninnuc;Ecadherin,cateninnuc","P","Ecadherin,cateninmemb,cateninnuc",3
"Ecadherin,cateninmemb;cateninnuc,cateninmemb;Ecadherin,cateninnuc","P","Ecadherin,cateninmemb,cateninnuc",3
"cateninmemb,Ecadherin;cateninnuc,cateninmemb;Ecadherin,cateninnuc","P","Ecadherin,cateninmemb,cateninnuc",3
"AKT,GSK3;ILK,AKT;SMAD,ILK;SMAD,SNAI1;GSK3,SNAI1","P","GSK3,AKT,ILK,SMAD,SNAI1",5
"RAS,PI3K;PI3K,AKT;ILK,AKT;SMAD,ILK;SMAD,SNAI1;SNAI1,TWIST1;TCFLEF,TWIST1;TCFLEF,RAS","P","RAS,PI3K,AKT,ILK,SMAD,SNAI1,TWIST1,TCFLEF",8
