"EdgeList","Nature","Cycles","Edge_count"
"AXIN2,AXIN2","P","AXIN2",1
"Destcompl,cateninnuc;cateninnuc,TCFLEF;TCFLEF,AXIN2;AXIN2,Destcompl","N","Destcompl,cateninnuc,TCFLEF,AXIN2",4
"cateninnuc,Destcompl;cateninnuc,TCFLEF;TCFLEF,AXIN2;AXIN2,Destcompl","P","Destcompl,cateninnuc,TCFLEF,AXIN2",4
"cateninmemb,Ecadherin;Ecadherin,cateninnuc;cateninnuc,cateninmemb","P","cateninmemb,Ecadherin,cateninnuc",3
"Ecadherin,cateninmemb;Ecadherin,cateninnuc;cateninnuc,cateninmemb","P","cateninmemb,Ecadherin,cateninnuc",3
"cateninmemb,Ecadherin;Ecadherin,cateninnuc;cateninmemb,cateninnuc","P","cateninmemb,Ecadherin,cateninnuc",3
"Ecadherin,cateninmemb;Ecadherin,cateninnuc;cateninmemb,cateninnuc","P","cateninmemb,Ecadherin,cateninnuc",3
"TWIST1,Ecadherin;Ecadherin,cateninnuc;cateninnuc,TCFLEF;TCFLEF,TWIST1","P","TWIST1,Ecadherin,cateninnuc,TCFLEF",4
"SNAI2,Ecadherin;Ecadherin,cateninnuc;cateninnuc,SNAI2","P","SNAI2,Ecadherin,cateninnuc",3
"ZEB1,SMAD;SMAD,HEY1;HEY1,Ecadherin;ZEB1,Ecadherin","P","ZEB1,SMAD,HEY1,Ecadherin",4
"SMAD,Jagged;SMAD,HEY1;HEY1,Ecadherin;Ecadherin,cateninnuc;cateninnuc,TCFLEF;TCFLEF,Jagged","P","Jagged,SMAD,HEY1,Ecadherin,cateninnuc,TCFLEF",6
"SMAD,SNAI1;SMAD,HEY1;HEY1,Ecadherin;SNAI1,Ecadherin","P","SNAI1,SMAD,HEY1,Ecadherin",4
"SNAI1,ZEB2;ZEB2,SMAD;SMAD,SNAI1","N","SNAI1,ZEB2,SMAD",3
"ZEB2,KLF4;ZEB2,SMAD;SMAD,HEY1;HEY1,Ecadherin;KLF4,Ecadherin","N","KLF4,ZEB2,SMAD,HEY1,Ecadherin",5
"SNAI1,miR200;miR200,ZEB2;SNAI1,ZEB2","P","SNAI1,miR200,ZEB2",3
"SNAI1,miR200;ZEB2,miR200;SNAI1,ZEB2","P","SNAI1,miR200,ZEB2",3
"ZEB1,miR200;miR200,ZEB2;ZEB2,SMAD;ZEB1,SMAD","N","ZEB1,miR200,ZEB2,SMAD",4
"miR200,ZEB1;miR200,ZEB2;ZEB2,SMAD;ZEB1,SMAD","N","ZEB1,miR200,ZEB2,SMAD",4
"ZEB1,miR200;ZEB2,miR200;ZEB2,SMAD;ZEB1,SMAD","N","ZEB1,miR200,ZEB2,SMAD",4
"miR200,ZEB1;ZEB2,miR200;ZEB2,SMAD;ZEB1,SMAD","N","ZEB1,miR200,ZEB2,SMAD",4
"GLI,SHH;SMAD,SHH;SMAD,HEY1;HEY1,Ecadherin;Ecadherin,cateninnuc;cateninnuc,TCFLEF;TCFLEF,GLI","P","GLI,SHH,SMAD,HEY1,Ecadherin,cateninnuc,TCFLEF",7
"SUFU,GLI;FUS,SUFU;SMO,FUS;Patched,SMO;SHH,Patched;GLI,SHH","P","GLI,SUFU,FUS,SMO,Patched,SHH",6
"RAS,PI3K;PI3K,AKT;ILK,AKT;SMAD,ILK;SMAD,HEY1;HEY1,Ecadherin;Ecadherin,cateninnuc;cateninnuc,TCFLEF;TCFLEF,RAS","P","RAS,PI3K,AKT,ILK,SMAD,HEY1,Ecadherin,cateninnuc,TCFLEF",9
"NFB,TWIST1;IKK,NFB;AKT,IKK;ILK,AKT;SMAD,ILK;SMAD,HEY1;HEY1,Ecadherin;TWIST1,Ecadherin","P","TWIST1,NFB,IKK,AKT,ILK,SMAD,HEY1,Ecadherin",8
"Csn,GSK3;NFB,Csn;IKK,NFB;AKT,IKK;AKT,GSK3","P","GSK3,Csn,NFB,IKK,AKT",5
"TrCP,SNAI1;Csn,TrCP;NFB,Csn;IKK,NFB;AKT,IKK;ILK,AKT;SMAD,ILK;SMAD,SNAI1","P","SNAI1,TrCP,Csn,NFB,IKK,AKT,ILK,SMAD",8
"Destcompl,GSK3;AKT,GSK3;ILK,AKT;SMAD,ILK;SMAD,HEY1;HEY1,Ecadherin;Ecadherin,cateninnuc;cateninnuc,Destcompl","P","Destcompl,GSK3,AKT,ILK,SMAD,HEY1,Ecadherin,cateninnuc",8
"GSK3,Destcompl;AKT,GSK3;ILK,AKT;SMAD,ILK;SMAD,HEY1;HEY1,Ecadherin;Ecadherin,cateninnuc;cateninnuc,Destcompl","N","Destcompl,GSK3,AKT,ILK,SMAD,HEY1,Ecadherin,cateninnuc",8
"Destcompl,GSK3;AKT,GSK3;ILK,AKT;SMAD,ILK;SMAD,HEY1;HEY1,Ecadherin;Ecadherin,cateninnuc;Destcompl,cateninnuc","N","Destcompl,GSK3,AKT,ILK,SMAD,HEY1,Ecadherin,cateninnuc",8
"GSK3,Destcompl;AKT,GSK3;ILK,AKT;SMAD,ILK;SMAD,HEY1;HEY1,Ecadherin;Ecadherin,cateninnuc;Destcompl,cateninnuc","P","Destcompl,GSK3,AKT,ILK,SMAD,HEY1,Ecadherin,cateninnuc",8
"GSK3,RAS;AKT,GSK3;ILK,AKT;SMAD,ILK;SMAD,HEY1;HEY1,Ecadherin;Ecadherin,cateninnuc;cateninnuc,TCFLEF;TCFLEF,RAS","P","RAS,GSK3,AKT,ILK,SMAD,HEY1,Ecadherin,cateninnuc,TCFLEF",9
"GSK3,SNAI1;AKT,GSK3;ILK,AKT;SMAD,ILK;SMAD,SNAI1","P","SNAI1,GSK3,AKT,ILK,SMAD",5
"ERK,GSK3;AKT,GSK3;ILK,AKT;SMAD,ILK;ERK,SMAD","P","ERK,GSK3,AKT,ILK,SMAD",5
"GLI,Wnt;Wnt,Frizzled;Frizzled,DSH;DSH,GSK3;AKT,GSK3;ILK,AKT;SMAD,ILK;SMAD,HEY1;HEY1,Ecadherin;Ecadherin,cateninnuc;cateninnuc,TCFLEF;TCFLEF,GLI","P","GLI,Wnt,Frizzled,DSH,GSK3,AKT,ILK,SMAD,HEY1,Ecadherin,cateninnuc,TCFLEF",12
"ERK,SNAI2;ERK,SMAD;SMAD,HEY1;HEY1,Ecadherin;SNAI2,Ecadherin","P","SNAI2,ERK,SMAD,HEY1,Ecadherin",5
"EGR1,SNAI1;cfos,EGR1;ERK,cfos;ERK,SMAD;SMAD,SNAI1","P","SNAI1,EGR1,cfos,ERK,SMAD",5
"TGFR,SOSGRB2;ERK,SOSGRB2;ERK,SMAD;TGFR,SMAD","N","TGFR,SOSGRB2,ERK,SMAD",4
"SOSGRB2,MEK;ERK,SOSGRB2;MEK,ERK","N","MEK,SOSGRB2,ERK",3
