"","CD24","CD44s","CDH1","EMT","ESRP1","GRHL2","HA","HAS2","MIR.1199","MIR.190","MIR.200","MIR.34","MIR.340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,0.926377419551479,-0.928577921115371,1,1,-1,-1,1,1,0.849152971449954,0.849152971449954,1,-0.849152971449954,-0.849152971449954,-0.928177477328709,-1
"CD44s",-1,1,-0.926377419551479,0.928577921115371,-1,-1,1,1,-1,-1,-0.849152971449954,-0.849152971449954,-1,0.849152971449954,0.849152971449954,0.928177477328709,1
"CDH1",0.926377419551479,-0.926377419551479,1,-0.964188953938005,0.926377419551479,0.926377419551479,-0.926377419551479,-0.926377419551479,0.926377419551479,0.926377419551479,0.922776167441336,0.922776167441336,0.926377419551479,-0.922776167441336,-0.922776167441336,-0.928178467556656,-0.926377419551479
"EMT",-0.928577921115371,0.928577921115371,-0.964188953938005,1,-0.928577921115371,-0.928577921115371,0.928577921115371,0.928577921115371,-0.928577921115371,-0.928577921115371,-0.920575378272996,-0.920575378272996,-0.928577921115371,0.920575378272996,0.920575378272996,0.963989410948253,0.928577921115371
"ESRP1",1,-1,0.926377419551479,-0.928577921115371,1,1,-1,-1,1,1,0.849152971449954,0.849152971449954,1,-0.849152971449954,-0.849152971449954,-0.928177477328709,-1
"GRHL2",1,-1,0.926377419551479,-0.928577921115371,1,1,-1,-1,1,1,0.849152971449954,0.849152971449954,1,-0.849152971449954,-0.849152971449954,-0.928177477328709,-1
"HA",-1,1,-0.926377419551479,0.928577921115371,-1,-1,1,1,-1,-1,-0.849152971449954,-0.849152971449954,-1,0.849152971449954,0.849152971449954,0.928177477328709,1
"HAS2",-1,1,-0.926377419551479,0.928577921115371,-1,-1,1,1,-1,-1,-0.849152971449954,-0.849152971449954,-1,0.849152971449954,0.849152971449954,0.928177477328709,1
"MIR-1199",1,-1,0.926377419551479,-0.928577921115371,1,1,-1,-1,1,1,0.849152971449954,0.849152971449954,1,-0.849152971449954,-0.849152971449954,-0.928177477328709,-1
"MIR-190",1,-1,0.926377419551479,-0.928577921115371,1,1,-1,-1,1,1,0.849152971449954,0.849152971449954,1,-0.849152971449954,-0.849152971449954,-0.928177477328709,-1
"MIR-200",0.849152971449954,-0.849152971449954,0.922776167441336,-0.920575378272996,0.849152971449954,0.849152971449954,-0.849152971449954,-0.849152971449954,0.849152971449954,0.849152971449954,1,1,0.849152971449954,-1,-1,-0.920975631629853,-0.849152971449954
"MIR-34",0.849152971449954,-0.849152971449954,0.922776167441336,-0.920575378272996,0.849152971449954,0.849152971449954,-0.849152971449954,-0.849152971449954,0.849152971449954,0.849152971449954,1,1,0.849152971449954,-1,-1,-0.920975631629853,-0.849152971449954
"MIR-340",1,-1,0.926377419551479,-0.928577921115371,1,1,-1,-1,1,1,0.849152971449954,0.849152971449954,1,-0.849152971449954,-0.849152971449954,-0.928177477328709,-1
"SNAIL1",-0.849152971449954,0.849152971449954,-0.922776167441336,0.920575378272996,-0.849152971449954,-0.849152971449954,0.849152971449954,0.849152971449954,-0.849152971449954,-0.849152971449954,-1,-1,-0.849152971449954,1,1,0.920975631629853,0.849152971449954
"TGFB",-0.849152971449954,0.849152971449954,-0.922776167441336,0.920575378272996,-0.849152971449954,-0.849152971449954,0.849152971449954,0.849152971449954,-0.849152971449954,-0.849152971449954,-1,-1,-0.849152971449954,1,1,0.920975631629853,0.849152971449954
"VIM",-0.928177477328709,0.928177477328709,-0.928178467556656,0.963989410948253,-0.928177477328709,-0.928177477328709,0.928177477328709,0.928177477328709,-0.928177477328709,-0.928177477328709,-0.920975631629853,-0.920975631629853,-0.928177477328709,0.920975631629853,0.920975631629853,1,0.928177477328709
"ZEB1",-1,1,-0.926377419551479,0.928577921115371,-1,-1,1,1,-1,-1,-0.849152971449954,-0.849152971449954,-1,0.849152971449954,0.849152971449954,0.928177477328709,1
