"","CD24","CD44s","CDH1","EMT","ESRP1","EX.TGFB","GRHL2","HA","HAS2","MIR.1199","MIR.190","MIR.200","MIR.34","MIR.340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,0.775557894235715,-0.7735398725769,1,-0.0325868631341934,1,-0.14300594106791,-1,1,1,0.712591883547059,0.588918732128982,1,-0.497806851993913,-0.755832575906766,-0.77393430846173,-1
"CD44s",-1,1,-0.775557894235715,0.7735398725769,-1,0.0325868631341934,-1,0.14300594106791,1,-1,-1,-0.712591883547059,-0.588918732128982,-1,0.497806851993913,0.755832575906766,0.77393430846173,1
"CDH1",0.775557894235715,-0.775557894235715,1,-0.885356771858325,0.775557894235715,-0.184606402145662,0.775557894235715,-0.0906821443934677,-0.775557894235715,0.775557894235715,0.775557894235715,0.750809569246813,0.736917649057577,0.775557894235715,-0.722234808976406,-0.75826320342947,-0.769921780130964,-0.775557894235715
"EMT",-0.7735398725769,0.7735398725769,-0.885356771858325,1,-0.7735398725769,0.18863769409009,-0.7735398725769,0.0918966667265814,0.7735398725769,-0.7735398725769,-0.7735398725769,-0.751208178317671,-0.74134907172669,-0.7735398725769,0.724253067487216,0.752624360818463,0.884559207579996,0.7735398725769
"ESRP1",1,-1,0.775557894235715,-0.7735398725769,1,-0.0325868631341934,1,-0.14300594106791,-1,1,1,0.712591883547059,0.588918732128982,1,-0.497806851993913,-0.755832575906766,-0.77393430846173,-1
"EX-TGFB",-0.0325868631341934,0.0325868631341934,-0.184606402145662,0.18863769409009,-0.0325868631341934,1,-0.0325868631341934,-0.0090835887292695,0.0325868631341934,-0.0325868631341934,-0.0325868631341934,-0.170752154166616,-0.294416390489183,-0.0325868631341934,0.38553023239713,0.127522892047061,0.188658893092013,0.0325868631341934
"GRHL2",1,-1,0.775557894235715,-0.7735398725769,1,-0.0325868631341934,1,-0.14300594106791,-1,1,1,0.712591883547059,0.588918732128982,1,-0.497806851993913,-0.755832575906766,-0.77393430846173,-1
"HA",-0.14300594106791,0.14300594106791,-0.0906821443934677,0.0918966667265814,-0.14300594106791,-0.0090835887292695,-0.14300594106791,1,0.14300594106791,-0.14300594106791,-0.14300594106791,-0.0732047196007941,-0.0605026063923363,-0.14300594106791,0.0421983675920434,0.0850828930723375,0.0943284780291408,0.14300594106791
"HAS2",-1,1,-0.775557894235715,0.7735398725769,-1,0.0325868631341934,-1,0.14300594106791,1,-1,-1,-0.712591883547059,-0.588918732128982,-1,0.497806851993913,0.755832575906766,0.77393430846173,1
"MIR-1199",1,-1,0.775557894235715,-0.7735398725769,1,-0.0325868631341934,1,-0.14300594106791,-1,1,1,0.712591883547059,0.588918732128982,1,-0.497806851993913,-0.755832575906766,-0.77393430846173,-1
"MIR-190",1,-1,0.775557894235715,-0.7735398725769,1,-0.0325868631341934,1,-0.14300594106791,-1,1,1,0.712591883547059,0.588918732128982,1,-0.497806851993913,-0.755832575906766,-0.77393430846173,-1
"MIR-200",0.712591883547059,-0.712591883547059,0.750809569246813,-0.751208178317671,0.712591883547059,-0.170752154166616,0.712591883547059,-0.0732047196007941,-0.712591883547059,0.712591883547059,0.712591883547059,1,0.694097630957912,0.712591883547059,-0.7852113858645,-0.956760237911057,-0.752011583136641,-0.712591883547059
"MIR-34",0.588918732128982,-0.588918732128982,0.736917649057577,-0.74134907172669,0.588918732128982,-0.294416390489183,0.588918732128982,-0.0605026063923363,-0.588918732128982,0.588918732128982,0.588918732128982,0.694097630957912,1,0.588918732128982,-0.908884618960403,-0.650870565542306,-0.741370615344851,-0.588918732128982
"MIR-340",1,-1,0.775557894235715,-0.7735398725769,1,-0.0325868631341934,1,-0.14300594106791,-1,1,1,0.712591883547059,0.588918732128982,1,-0.497806851993913,-0.755832575906766,-0.77393430846173,-1
"SNAIL1",-0.497806851993913,0.497806851993913,-0.722234808976406,0.724253067487216,-0.497806851993913,0.38553023239713,-0.497806851993913,0.0421983675920434,0.497806851993913,-0.497806851993913,-0.497806851993913,-0.7852113858645,-0.908884618960403,-0.497806851993913,1,0.741984679583864,0.723873199410194,0.497806851993913
"TGFB",-0.755832575906766,0.755832575906766,-0.75826320342947,0.752624360818463,-0.755832575906766,0.127522892047061,-0.755832575906766,0.0850828930723375,0.755832575906766,-0.755832575906766,-0.755832575906766,-0.956760237911057,-0.650870565542306,-0.755832575906766,0.741984679583864,1,0.751006228729767,0.755832575906766
"VIM",-0.77393430846173,0.77393430846173,-0.769921780130964,0.884559207579996,-0.77393430846173,0.188658893092013,-0.77393430846173,0.0943284780291408,0.77393430846173,-0.77393430846173,-0.77393430846173,-0.752011583136641,-0.741370615344851,-0.77393430846173,0.723873199410194,0.751006228729767,1,0.77393430846173
"ZEB1",-1,1,-0.775557894235715,0.7735398725769,-1,0.0325868631341934,-1,0.14300594106791,1,-1,-1,-0.712591883547059,-0.588918732128982,-1,0.497806851993913,0.755832575906766,0.77393430846173,1
