states,Avg0,SD0,frust0
'0000001110',0.006333333333333333,0.0007408703590297624,0.36363636363636365
'1110110011',0.0506,0.002706781606754907,0.22727272727272727
'1100110011',0.25653333333333334,0.0021249836600678892,0.18181818181818182
'0000100110',0.050666666666666665,0.00037712361663282633,0.3181818181818182
'1111111001',0.013166666666666667,0.0002867441755680872,0.45454545454545453
'0011001100',0.24676666666666666,0.0010402991022884851,0.18181818181818182
'1111011001',0.04856666666666667,0.0006182412330330465,0.3181818181818182
'0000101110',0.029466666666666665,0.0006649979114420004,0.3181818181818182
'1111110001',0.006633333333333334,0.00016996731711975928,0.36363636363636365
'0001001100',0.05103333333333334,0.0013597385369580764,0.22727272727272727
'0001100100',0.006533333333333333,0.00041899350299921784,0.36363636363636365
'1111010001',0.027999999999999997,0.0014764823060233398,0.3181818181818182
'0001000100',0.02613333333333333,0.00032998316455372167,0.4090909090909091
'1110110001',0.005933333333333333,0.0004642796092394708,0.36363636363636365
'1110010011',0.012733333333333333,0.0008993825042154693,0.2727272727272727
'0001101100',0.0121,0.00024494897427831773,0.2727272727272727
'1110111011',0.028466666666666668,0.0011145502331533664,0.4090909090909091
'1110111001',0.0179,0.0007874007874011812,0.45454545454545453
'0001000110',0.018333333333333333,0.0006599663291074453,0.45454545454545453
'0000100100',0.006866666666666667,0.0011264496832477204,0.36363636363636365
'1111010011',0.017233333333333333,0.0006798692684790386,0.2727272727272727
'0000101100',0.017400000000000002,0.0005887840577551906,0.2727272727272727
'0000000110',0.012333333333333333,0.0008730533902472527,0.45454545454545453
'0001001110',0.007,0.0004320493798938574,0.36363636363636365
'0001100110',0.0019,0.000282842712474619,0.4090909090909091
'1110011001',0.0023666666666666667,0.0003681787005729087,0.4090909090909091
'1111011011',0.0061,0.00021602468994692884,0.36363636363636365
'1110011011',0.006433333333333333,0.00041096093353126513,0.36363636363636365
'0000000100',0.00043333333333333337,0.00024944382578492944,0.5
'0000001100',0.0025,0.0005099019513592786,0.3181818181818182
'0001101110',0.0004333333333333333,0.00020548046676563254,0.4090909090909091
'1111110011',0.0023,0.0004898979485566356,0.3181818181818182
'1111111011',0.0004666666666666666,0.0001247219128924647,0.5
'1110010001',0.0003333333333333333,0.0001699673171197595,0.4090909090909091
