states,flag,Avg0,SD0,frust0
'1100011001',0,0.012233333333333332,0.0011085526098877259,0.45454545454545453
'0001100100',0,0.034999999999999996,0.0001414213562373103,0.36363636363636365
'1100010011',0,0.0452,0.0008640987597877127,0.22727272727272727
'0001100110',0,0.018766666666666668,0.0015369522511198004,0.4090909090909091
'0000110100',0,0.021133333333333334,0.0013123346456686347,0.4090909090909091
'1100001011',0,0.043800000000000006,0.0008640987597877148,0.45454545454545453
'1110011011',0,0.034133333333333335,0.0002054804667656328,0.36363636363636365
'0011111100',0,0.046966666666666664,0.00036817870057290794,0.2727272727272727
'0000110110',0,0.034833333333333334,0.0017518244457961224,0.45454545454545453
'1100011011',0,0.03006666666666667,0.0019154343864744858,0.4090909090909091
'0011110100',0,0.044399999999999995,0.001363818169698587,0.45454545454545453
'0011100100',0,0.031033333333333333,0.0015195028426721981,0.4090909090909091
'0010101110',0,0.008666666666666665,0.0008730533902472529,0.2727272727272727
'0000100110',0,0.06369999999999999,0.000616441400296898,0.3181818181818182
'1101011011',0,0.0033666666666666667,0.00012472191289246464,0.4090909090909091
'1111001011',0,0.022366666666666663,0.0010208928554075697,0.4090909090909091
'1110001011',0,0.06153333333333333,0.0011264496832477224,0.4090909090909091
'0010111110',0,0.005866666666666666,0.0005906681715556452,0.4090909090909091
'1101001011',0,0.006333333333333333,0.0007408703590297623,0.45454545454545453
'0011101100',0,0.0448,0.0013880441875771343,0.22727272727272727
'0000100100',0,0.006366666666666666,0.0003681787005729086,0.36363636363636365
'1111011001',0,0.06186666666666666,0.0020725722075613058,0.3181818181818182
'0010110100',0,0.006266666666666667,0.00023570226039551563,0.45454545454545453
'1110001001',0,0.007133333333333334,0.0005792715732327593,0.5454545454545454
'0001110100',0,0.06343333333333333,0.0013888444437333098,0.4090909090909091
'1111011011',0,0.007066666666666666,0.0011323525167642018,0.36363636363636365
'0011100110',0,0.013166666666666665,0.0010656244908763854,0.45454545454545453
'1100000011',0,0.04743333333333333,0.0006018490028422587,0.2727272727272727
'1111001001',0,0.03576666666666667,0.0016519348924485153,0.45454545454545453
'1101001001',0,0.009133333333333334,0.0010208928554075699,0.5
'0010100110',0,0.017199999999999997,0.0005656854249492379,0.36363636363636365
'1110011001',0,0.020166666666666666,0.00020548046676563262,0.4090909090909091
'1101000011',0,0.0062,0.0005715476066494083,0.2727272727272727
'0010110110',0,0.007766666666666667,0.0004988876515698588,0.5
'1100001001',0,0.0030333333333333336,0.00028674417556808743,0.5909090909090909
'0010111100',0,0.006333333333333333,0.00026246692913372703,0.2727272727272727
'1101010001',0,0.008233333333333334,0.0003299831645537223,0.2727272727272727
'0010101100',0,0.0055000000000000005,0.0005715476066494083,0.22727272727272727
'1100000001',0,0.0018666666666666666,0.00012472191289246477,0.5
'1100010001',0,0.0036000000000000003,0.0002943920288775949,0.36363636363636365
'0011101110',0,0.0038,0.0004546060565661953,0.36363636363636365
'1101010011',0,0.006033333333333334,0.0007760297817881876,0.22727272727272727
'0001110110',0,0.007899999999999999,0.00028284271247461896,0.5454545454545454
'1101000001',0,0.0061333333333333335,0.0006128258770283411,0.4090909090909091
'1101011001',0,0.016366666666666668,0.0011897712198383158,0.36363636363636365
'0010100100',0,0.0036000000000000003,0.0005715476066494084,0.4090909090909091
'0011110110',0,0.0030000000000000005,0.0003265986323710904,0.5909090909090909
'0011111110',0,0.0014333333333333333,0.00012472191289246477,0.5
