"","MIR340","MIR190","MIR1199","ESRP1","MIR34","MIR200","ZEB1","SNAIL1","TGFB","HA","CD44s","CD24","HAS2","GRHL2"
"GRHL2",0.401913699260437,0.401913699260437,0.401913699260437,0.401913699260437,0.407165247298976,0.407165247298976,-0.409435679071574,-0.244189530394966,-0.394725962191699,-0.391592797265641,-0.391592797265641,-0.291592797265641,-0.401913699260437,-0.401913699260437
"MIR340",0.292677138506436,0.292677138506436,0.292677138506436,0.292677138506436,0.291721334614709,0.291721334614709,-0.299385828285814,-0.220098535009782,-0.282412585575532,-0.283030079682906,-0.283030079682906,-0.283030079682906,-0.292677138506436,-0.292677138506436
"MIR1199",0.292677138506436,0.292677138506436,0.292677138506436,0.292677138506436,0.291721334614709,0.291721334614709,-0.299385828285814,-0.220098535009782,-0.282412585575532,-0.283030079682906,-0.283030079682906,-0.283030079682906,-0.292677138506436,-0.292677138506436
"CD24",0.292677138506436,0.292677138506436,0.292677138506436,0.292677138506436,0.291721334614709,0.291721334614709,-0.299385828285814,-0.220098535009782,-0.282412585575532,-0.283030079682906,-0.283030079682906,-0.283030079682906,-0.292677138506436,-0.292677138506436
"ESRP1",0.283030079682906,0.283030079682906,0.283030079682906,0.283030079682906,0.283115089374801,0.283115089374801,-0.292677138506436,-0.213783586968215,-0.27010489326784,-0.270818858560794,-0.370818858560794,-0.270818858560794,-0.283030079682906,-0.283030079682906
"MIR200",0.283923229466943,0.283923229466943,0.283923229466943,0.283923229466943,0.369738495028272,0.369738495028272,-0.290077556239826,-0.227814991236194,-0.467869674388308,-0.274638102104577,-0.274638102104577,-0.274638102104577,-0.283923229466943,-0.283923229466943
"MIR34",0.193108286608619,0.193108286608619,0.193108286608619,0.193108286608619,0.219838436173921,0.219838436173921,-0.197396711656057,-0.138714907417669,-0.239959757487736,-0.188210327424945,-0.188210327424945,-0.188210327424945,-0.193108286608619,-0.193108286608619
"MIR190",0.188210327424945,0.188210327424945,0.188210327424945,0.188210327424945,0.214492934218249,0.214492934218249,-0.193108286608619,-0.136279183466384,-0.332741073835931,-0.179763460939932,-0.179763460939932,-0.179763460939932,-0.188210327424945,-0.188210327424945
"TGFB",-0.193108286608619,-0.193108286608619,-0.193108286608619,-0.193108286608619,-0.219838436173921,-0.219838436173921,0.197396711656057,0.138714907417669,0.239959757487736,0.188210327424945,0.188210327424945,0.188210327424945,0.193108286608619,0.193108286608619
"SNAIL1",-0.197396711656057,-0.197396711656057,-0.197396711656057,-0.197396711656057,-0.223461096032904,-0.223461096032904,0.20018984932797,0.0415980637150894,0.245130799651618,0.193108286608619,0.193108286608619,0.193108286608619,0.197396711656057,0.197396711656057
"ZEB1",-0.299385828285814,-0.299385828285814,-0.299385828285814,-0.299385828285814,-0.298288154891207,-0.298288154891207,0.204549368050051,0.223986094818394,0.291427842163605,0.292677138506436,0.292677138506436,0.292677138506436,0.299385828285814,0.299385828285814
"HAS2",-0.283030079682906,-0.283030079682906,-0.283030079682906,-0.283030079682906,-0.283115089374801,-0.283115089374801,0.292677138506436,0.213783586968215,0.27010489326784,0.370818858560794,0.270818858560794,0.270818858560794,0.283030079682906,0.283030079682906
"HA",-0.292677138506436,-0.292677138506436,-0.292677138506436,-0.292677138506436,-0.291721334614709,-0.291721334614709,0.299385828285814,0.220098535009782,0.282412585575532,0.283030079682906,0.283030079682906,0.283030079682906,0.292677138506436,0.292677138506436
"CD44s",-0.292677138506436,-0.292677138506436,-0.292677138506436,-0.292677138506436,-0.291721334614709,-0.291721334614709,0.299385828285814,0.220098535009782,0.282412585575532,0.283030079682906,0.283030079682906,0.283030079682906,0.292677138506436,0.292677138506436
