"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR200","SNAIL1","MIR34","TGFB","ZEB1","HA","CD44s","HAS2"
"GRHL2",0.663110113616561,0.663110113616561,0.663110113616561,0.663110113616561,0.663110113616561,0.718617485689414,0.503474534345868,0.0856469152791765,-0.535975160510666,-0.536581752480182,-0.695054105801517,-0.618617485689414,-0.618617485689414,-0.663110113616561
"MIR340",0.528345983072983,0.528345983072983,0.528345983072983,0.528345983072983,0.528345983072983,0.479169512484747,0.398204314936988,0.062544545431652,-0.390610895620181,-0.421461063472601,-0.553694924991037,-0.479169512484747,-0.479169512484747,-0.528345983072983
"MIR1199",0.528345983072983,0.528345983072983,0.528345983072983,0.528345983072983,0.528345983072983,0.479169512484747,0.398204314936988,0.062544545431652,-0.390610895620181,-0.421461063472601,-0.553694924991037,-0.479169512484747,-0.479169512484747,-0.528345983072983
"CD24",0.528345983072983,0.528345983072983,0.528345983072983,0.528345983072983,0.528345983072983,0.479169512484747,0.398204314936988,0.062544545431652,-0.390610895620181,-0.421461063472601,-0.553694924991037,-0.479169512484747,-0.479169512484747,-0.528345983072983
"ESRP1",0.479169512484747,0.479169512484747,0.479169512484747,0.479169512484747,0.479169512484747,0.447816377171216,0.376955266955267,0.0821288779656248,-0.348188961119039,-0.388896960908499,-0.528345983072983,-0.447816377171216,-0.547816377171216,-0.479169512484747
"MIR200",0.479502775064928,0.479502775064928,0.479502775064928,0.479502775064928,0.479502775064928,0.436199570463449,0.448370635556552,-0.050925344869368,-0.251995625482537,-0.575326935236615,-0.500589935327346,-0.436199570463449,-0.436199570463449,-0.479502775064928
"MIR34",0.281359158256097,0.281359158256097,0.281359158256097,0.281359158256097,0.281359158256097,0.269930586827525,0.249251674332113,-0.0592015857624037,-0.0726083565426306,-0.284478768373741,-0.301359158256097,-0.269930586827525,-0.269930586827525,-0.281359158256097
"MIR190",0.269930586827525,0.269930586827525,0.269930586827525,0.269930586827525,0.269930586827525,0.240230314347961,0.236213864684134,-0.0719214775080059,-0.0710438193848731,-0.366432059244229,-0.281359158256097,-0.240230314347961,-0.240230314347961,-0.269930586827525
"TGFB",-0.281359158256097,-0.281359158256097,-0.281359158256097,-0.281359158256097,-0.281359158256097,-0.269930586827525,-0.249251674332113,0.0592015857624037,0.0726083565426306,0.284478768373741,0.301359158256097,0.269930586827525,0.269930586827525,0.281359158256097
"SNAIL1",-0.301359158256097,-0.301359158256097,-0.301359158256097,-0.301359158256097,-0.301359158256097,-0.281359158256097,-0.257493833340137,-0.032351272103049,0.0899922612350692,0.296889269567058,0.310929553832447,0.281359158256097,0.281359158256097,0.301359158256097
"ZEB1",-0.553694924991037,-0.553694924991037,-0.553694924991037,-0.553694924991037,-0.553694924991037,-0.528345983072983,-0.42147620433791,-0.0789321052402644,0.399769881795296,0.453684826764326,0.487946958861202,0.528345983072983,0.528345983072983,0.553694924991037
"HAS2",-0.479169512484747,-0.479169512484747,-0.479169512484747,-0.479169512484747,-0.479169512484747,-0.447816377171216,-0.376955266955267,-0.0821288779656248,0.348188961119039,0.388896960908499,0.528345983072983,0.547816377171216,0.447816377171216,0.479169512484747
"HA",-0.528345983072983,-0.528345983072983,-0.528345983072983,-0.528345983072983,-0.528345983072983,-0.479169512484747,-0.398204314936988,-0.062544545431652,0.390610895620181,0.421461063472601,0.553694924991037,0.479169512484747,0.479169512484747,0.528345983072983
"CD44s",-0.528345983072983,-0.528345983072983,-0.528345983072983,-0.528345983072983,-0.528345983072983,-0.479169512484747,-0.398204314936988,-0.062544545431652,0.390610895620181,0.421461063472601,0.553694924991037,0.479169512484747,0.479169512484747,0.528345983072983
