"","MIR340","MIR200","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","SNAIL1","TGFB","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.813630906053266,0.813630906053266,0.813630906053266,0.813630906053266,0.813630906053266,0.813630906053266,0.840546019924902,0.717893878614869,-0.37005332607244,-0.740546019924902,-0.740546019924902,-0.740546019924902,-0.881915695697279,-0.813630906053266
"MIR340",0.707088186973544,0.707088186973544,0.707088186973544,0.707088186973544,0.707088186973544,0.707088186973544,0.635376730113572,0.601211217660648,-0.352654734091501,-0.635376730113572,-0.635376730113572,-0.635376730113572,-0.77400036827666,-0.707088186973544
"MIR1199",0.707088186973544,0.707088186973544,0.707088186973544,0.707088186973544,0.707088186973544,0.707088186973544,0.635376730113572,0.601211217660648,-0.352654734091501,-0.635376730113572,-0.635376730113572,-0.635376730113572,-0.77400036827666,-0.707088186973544
"CD24",0.707088186973544,0.707088186973544,0.707088186973544,0.707088186973544,0.707088186973544,0.707088186973544,0.635376730113572,0.601211217660648,-0.352654734091501,-0.635376730113572,-0.635376730113572,-0.635376730113572,-0.77400036827666,-0.707088186973544
"ESRP1",0.635376730113572,0.635376730113572,0.635376730113572,0.635376730113572,0.635376730113572,0.635376730113572,0.558542753279595,0.544547573055027,-0.322228377502353,-0.558542753279595,-0.558542753279595,-0.658542753279595,-0.707088186973544,-0.635376730113572
"MIR200",0.617059647341791,0.617059647341791,0.617059647341791,0.617059647341791,0.617059647341791,0.617059647341791,0.550997747661961,0.611958947442669,-0.32703363425948,-0.650997747661961,-0.550997747661961,-0.550997747661961,-0.671445612254071,-0.617059647341791
"MIR34",0.212993870688999,0.212993870688999,0.212993870688999,0.212993870688999,0.212993870688999,0.212993870688999,0.197259604954733,0.287092477293331,-0.149821322726697,-0.197259604954733,-0.197259604954733,-0.197259604954733,-0.248050199383499,-0.212993870688999
"MIR190",0.197259604954733,0.197259604954733,0.197259604954733,0.197259604954733,0.197259604954733,0.197259604954733,0.14856395278082,0.269329319398594,-0.14452178355619,-0.24856395278082,-0.14856395278082,-0.14856395278082,-0.212993870688999,-0.197259604954733
"TGFB",-0.212993870688999,-0.212993870688999,-0.212993870688999,-0.212993870688999,-0.212993870688999,-0.212993870688999,-0.197259604954733,-0.287092477293331,0.149821322726697,0.197259604954733,0.197259604954733,0.197259604954733,0.248050199383499,0.212993870688999
"SNAIL1",-0.248050199383499,-0.248050199383499,-0.248050199383499,-0.248050199383499,-0.248050199383499,-0.248050199383499,-0.212993870688999,-0.311282632951724,0.0649998941552681,0.212993870688999,0.212993870688999,0.212993870688999,0.267342971094367,0.248050199383499
"HAS2",-0.635376730113572,-0.635376730113572,-0.635376730113572,-0.635376730113572,-0.635376730113572,-0.635376730113572,-0.558542753279595,-0.544547573055027,0.322228377502353,0.558542753279595,0.658542753279595,0.558542753279595,0.707088186973544,0.635376730113572
"ZEB1",-0.77400036827666,-0.77400036827666,-0.77400036827666,-0.77400036827666,-0.77400036827666,-0.77400036827666,-0.707088186973544,-0.654661342794721,0.379379196963721,0.707088186973544,0.707088186973544,0.707088186973544,0.737381864933982,0.77400036827666
"HA",-0.707088186973544,-0.707088186973544,-0.707088186973544,-0.707088186973544,-0.707088186973544,-0.707088186973544,-0.635376730113572,-0.601211217660648,0.352654734091501,0.635376730113572,0.635376730113572,0.635376730113572,0.77400036827666,0.707088186973544
"CD44s",-0.707088186973544,-0.707088186973544,-0.707088186973544,-0.707088186973544,-0.707088186973544,-0.707088186973544,-0.635376730113572,-0.601211217660648,0.352654734091501,0.635376730113572,0.635376730113572,0.635376730113572,0.77400036827666,0.707088186973544
