"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.9,0.9,0.8,0.9,-0.9,-0.9,-0.9,-0.9,-0.9,0.9,0.8,-0.9,0,-0.9,0.8,-0.9,0.8,-0.8
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.9,0.9,0.8,1,-0.8,-0.9,-0.9,-0.8,-0.8,0.8,0.7,-0.8,0,-0.8,0.8,-0.9,0.7,-0.7
"SNAIL1",1,1,0.9,1,-0.9,-1,-1,-0.9,-0.9,0.9,0.8,-0.9,0,-0.9,0.9,-1,0.8,-0.8
"MIR340",-0.9,-0.8,-0.7,-0.8,0.8,0.8,0.8,0.8,0.8,-0.8,-0.7,0.8,0,0.8,-0.7,0.8,-0.7,0.7
"MIR34",-0.9,-0.9,-0.8,-1,0.8,0.9,0.9,0.8,0.8,-0.8,-0.7,0.8,0,0.8,-0.8,0.9,-0.7,0.7
"MIR200",-0.9,-0.9,-0.9,-0.9,0.8,0.9,0.9,0.8,0.8,-0.8,-0.7,0.8,0,0.8,-0.8,0.9,-0.7,0.7
"MIR190",-0.8,-0.8,-0.8,-0.9,0.7,0.8,0.8,0.7,0.7,-0.7,-0.6,0.7,0,0.7,-0.7,0.8,-0.6,0.6
"MIR1199",-0.9,-0.8,-0.7,-0.8,0.8,0.8,0.8,0.8,0.8,-0.8,-0.7,0.8,0,0.8,-0.7,0.8,-0.7,0.7
"HAS2",0.8,0.7,0.6,0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0.7,0.7,-0.7,0,-0.7,0.6,-0.7,0.6,-0.6
"HA",0.9,0.8,0.7,0.8,-0.8,-0.8,-0.8,-0.8,-0.8,0.8,0.7,-0.8,0,-0.8,0.7,-0.8,0.7,-0.7
"GRHL2",-1,-0.9,-0.8,-0.8,0.9,0.9,0.9,0.9,0.9,-0.9,-0.8,0.9,0,0.9,-0.8,0.9,-0.8,0.9
"EXTGFB",0.9,0.9,0.8,1,-0.8,-0.9,-0.9,-0.8,-0.8,0.8,0.7,-0.8,0,-0.8,0.8,-0.9,0.7,-0.7
"ESRP1",-0.8,-0.7,-0.6,-0.7,0.7,0.7,0.7,0.7,0.7,-0.7,-0.6,0.7,0,0.7,-0.6,0.7,-0.7,0.6
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.9,0.8,0.7,0.8,-0.8,-0.8,-0.8,-0.8,-0.8,0.8,0.7,-0.8,0,-0.8,0.7,-0.8,0.7,-0.7
"CD24",-0.9,-0.8,-0.7,-0.8,0.8,0.8,0.8,0.8,0.8,-0.8,-0.7,0.8,0,0.8,-0.7,0.8,-0.7,0.7
