"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","SNAIL1","TGFB","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.811409163165875,0.811409163165875,0.811409163165875,0.811409163165875,0.811409163165875,0.839750871708588,0.728339069540779,0.728339069540779,-0.356472701936413,-0.739750871708588,-0.739750871708588,-0.739750871708588,-0.879319031075743,-0.811409163165875
"MIR340",0.704350956860695,0.704350956860695,0.704350956860695,0.704350956860695,0.704350956860695,0.634929469257389,0.608508648505625,0.608508648505625,-0.325158741264024,-0.634929469257389,-0.634929469257389,-0.634929469257389,-0.771666974176713,-0.704350956860695
"MIR200",0.704350956860695,0.704350956860695,0.704350956860695,0.704350956860695,0.704350956860695,0.634929469257389,0.608508648505625,0.608508648505625,-0.325158741264024,-0.634929469257389,-0.634929469257389,-0.634929469257389,-0.771666974176713,-0.704350956860695
"MIR1199",0.704350956860695,0.704350956860695,0.704350956860695,0.704350956860695,0.704350956860695,0.634929469257389,0.608508648505625,0.608508648505625,-0.325158741264024,-0.634929469257389,-0.634929469257389,-0.634929469257389,-0.771666974176713,-0.704350956860695
"CD24",0.704350956860695,0.704350956860695,0.704350956860695,0.704350956860695,0.704350956860695,0.634929469257389,0.608508648505625,0.608508648505625,-0.325158741264024,-0.634929469257389,-0.634929469257389,-0.634929469257389,-0.771666974176713,-0.704350956860695
"ESRP1",0.634929469257389,0.634929469257389,0.634929469257389,0.634929469257389,0.634929469257389,0.557234301971144,0.549199627392381,0.549199627392381,-0.299087749831955,-0.557234301971144,-0.557234301971144,-0.657234301971144,-0.704350956860695,-0.634929469257389
"MIR34",0.325158741264024,0.325158741264024,0.325158741264024,0.325158741264024,0.325158741264024,0.299087749831955,0.314156534654076,0.314156534654076,-0.156373795986949,-0.299087749831955,-0.299087749831955,-0.299087749831955,-0.354012124722671,-0.325158741264024
"MIR190",0.299087749831955,0.299087749831955,0.299087749831955,0.299087749831955,0.299087749831955,0.263011800464867,0.291105687196449,0.291105687196449,-0.146373795986949,-0.363011800464867,-0.263011800464867,-0.263011800464867,-0.325158741264024,-0.299087749831955
"TGFB",-0.325158741264024,-0.325158741264024,-0.325158741264024,-0.325158741264024,-0.325158741264024,-0.299087749831955,-0.314156534654076,-0.314156534654076,0.156373795986949,0.299087749831955,0.299087749831955,0.299087749831955,0.354012124722671,0.325158741264024
"SNAIL1",-0.354012124722671,-0.354012124722671,-0.354012124722671,-0.354012124722671,-0.354012124722671,-0.325158741264024,-0.337233457730999,-0.337233457730999,0.0683606596979504,0.325158741264024,0.325158741264024,0.325158741264024,0.378418720120388,0.354012124722671
"HAS2",-0.634929469257389,-0.634929469257389,-0.634929469257389,-0.634929469257389,-0.634929469257389,-0.557234301971144,-0.549199627392381,-0.549199627392381,0.299087749831955,0.557234301971144,0.657234301971144,0.557234301971144,0.704350956860695,0.634929469257389
"ZEB1",-0.771666974176713,-0.771666974176713,-0.771666974176713,-0.771666974176713,-0.771666974176713,-0.704350956860695,-0.663180318299246,-0.663180318299246,0.354012124722671,0.704350956860695,0.704350956860695,0.704350956860695,0.732979938668868,0.771666974176713
"HA",-0.704350956860695,-0.704350956860695,-0.704350956860695,-0.704350956860695,-0.704350956860695,-0.634929469257389,-0.608508648505625,-0.608508648505625,0.325158741264024,0.634929469257389,0.634929469257389,0.634929469257389,0.771666974176713,0.704350956860695
"CD44s",-0.704350956860695,-0.704350956860695,-0.704350956860695,-0.704350956860695,-0.704350956860695,-0.634929469257389,-0.608508648505625,-0.608508648505625,0.325158741264024,0.634929469257389,0.634929469257389,0.634929469257389,0.771666974176713,0.704350956860695
