"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","SNAIL1","TGFB","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.867935332457804,0.867935332457804,0.867935332457804,0.867935332457804,0.867935332457804,0.880359574882047,0.73437852706061,0.73437852706061,-0.368544060232828,-0.71244902133447,-0.780359574882047,-0.780359574882047,-0.952034711339792,-0.867935332457804
"MIR340",0.763246496896509,0.763246496896509,0.763246496896509,0.763246496896509,0.763246496896509,0.675798798151739,0.615378189329099,0.615378189329099,-0.35127343095307,-0.597322579353648,-0.675798798151739,-0.675798798151739,-0.845932009264,-0.763246496896509
"MIR1199",0.763246496896509,0.763246496896509,0.763246496896509,0.763246496896509,0.763246496896509,0.675798798151739,0.615378189329099,0.615378189329099,-0.35127343095307,-0.597322579353648,-0.675798798151739,-0.675798798151739,-0.845932009264,-0.763246496896509
"CD24",0.763246496896509,0.763246496896509,0.763246496896509,0.763246496896509,0.763246496896509,0.675798798151739,0.615378189329099,0.615378189329099,-0.35127343095307,-0.597322579353648,-0.675798798151739,-0.675798798151739,-0.845932009264,-0.763246496896509
"MIR200",0.724915221993826,0.724915221993826,0.724915221993826,0.724915221993826,0.724915221993826,0.649331739049481,0.642056112394921,0.642056112394921,-0.324984901174378,-0.747107379067761,-0.649331739049481,-0.649331739049481,-0.802113433618267,-0.724915221993826
"ESRP1",0.675798798151739,0.675798798151739,0.675798798151739,0.675798798151739,0.675798798151739,0.587886710239651,0.55343965505014,0.55343965505014,-0.32017191907402,-0.524613027696728,-0.587886710239651,-0.687886710239651,-0.763246496896509,-0.675798798151739
"MIR34",0.195572360129322,0.195572360129322,0.195572360129322,0.195572360129322,0.195572360129322,0.147953312510275,0.170203118533648,0.170203118533648,-0.128449811778407,-0.148277255608512,-0.147953312510275,-0.147953312510275,-0.212963664477148,-0.195572360129322
"MIR190",0.147953312510275,0.147953312510275,0.147953312510275,0.147953312510275,0.147953312510275,0.144155844155844,0.139661246612466,0.139661246612466,-0.120098634048214,-0.245396597172298,-0.144155844155844,-0.144155844155844,-0.195572360129322,-0.147953312510275
"TGFB",-0.195572360129322,-0.195572360129322,-0.195572360129322,-0.195572360129322,-0.195572360129322,-0.147953312510275,-0.170203118533648,-0.170203118533648,0.128449811778407,0.148277255608512,0.147953312510275,0.147953312510275,0.212963664477148,0.195572360129322
"SNAIL1",-0.212963664477148,-0.212963664477148,-0.212963664477148,-0.212963664477148,-0.212963664477148,-0.195572360129322,-0.183255533744337,-0.183255533744337,0.0366935393769729,0.184640891972148,0.195572360129322,0.195572360129322,0.246977804304328,0.212963664477148
"HAS2",-0.675798798151739,-0.675798798151739,-0.675798798151739,-0.675798798151739,-0.675798798151739,-0.587886710239651,-0.55343965505014,-0.55343965505014,0.32017191907402,0.524613027696728,0.687886710239651,0.587886710239651,0.763246496896509,0.675798798151739
"ZEB1",-0.845932009264,-0.845932009264,-0.845932009264,-0.845932009264,-0.845932009264,-0.763246496896509,-0.674853407987992,-0.674853407987992,0.377925509727687,0.668470615607425,0.763246496896509,0.763246496896509,0.825832929292309,0.845932009264
"HA",-0.763246496896509,-0.763246496896509,-0.763246496896509,-0.763246496896509,-0.763246496896509,-0.675798798151739,-0.615378189329099,-0.615378189329099,0.35127343095307,0.597322579353648,0.675798798151739,0.675798798151739,0.845932009264,0.763246496896509
"CD44s",-0.763246496896509,-0.763246496896509,-0.763246496896509,-0.763246496896509,-0.763246496896509,-0.675798798151739,-0.615378189329099,-0.615378189329099,0.35127343095307,0.597322579353648,0.675798798151739,0.675798798151739,0.845932009264,0.763246496896509
