"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","MIR200","CD24","SNAIL1","TGFB","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.85639085446421,0.85639085446421,0.85639085446421,0.85639085446421,0.85639085446421,0.804420582540571,0.870755495348188,-0.313054025132677,-0.747914034435774,-0.770755495348188,-0.770755495348188,-0.936878659342259,-0.85639085446421
"MIR340",0.750026320735295,0.750026320735295,0.750026320735295,0.750026320735295,0.750026320735295,0.69968519142326,0.662856509414541,-0.21844665386353,-0.642906261172515,-0.662856509414541,-0.662856509414541,-0.827641892511451,-0.750026320735295
"MIR1199",0.750026320735295,0.750026320735295,0.750026320735295,0.750026320735295,0.750026320735295,0.69968519142326,0.662856509414541,-0.21844665386353,-0.642906261172515,-0.662856509414541,-0.662856509414541,-0.827641892511451,-0.750026320735295
"CD24",0.750026320735295,0.750026320735295,0.750026320735295,0.750026320735295,0.750026320735295,0.69968519142326,0.662856509414541,-0.21844665386353,-0.642906261172515,-0.662856509414541,-0.662856509414541,-0.827641892511451,-0.750026320735295
"ESRP1",0.662856509414541,0.662856509414541,0.662856509414541,0.662856509414541,0.662856509414541,0.625452062588905,0.581413210445468,-0.171207390059849,-0.563626981893236,-0.581413210445468,-0.681413210445468,-0.750026320735295,-0.662856509414541
"MIR200",0.638893830469924,0.638893830469924,0.638893830469924,0.638893830469924,0.638893830469924,0.672390230170092,0.565949533387696,-0.224082464754112,-0.737117498514557,-0.565949533387696,-0.565949533387696,-0.702509776567622,-0.638893830469924
"MIR190",0.313054025132677,0.313054025132677,0.313054025132677,0.313054025132677,0.313054025132677,0.310235296269602,0.273768310846963,-0.178491974617395,-0.410898375551841,-0.273768310846963,-0.273768310846963,-0.345170813453845,-0.313054025132677
"TGFB",-0.345170813453845,-0.345170813453845,-0.345170813453845,-0.345170813453845,-0.345170813453845,-0.340569113395872,-0.313054025132677,0.188112965871039,0.345947880502336,0.313054025132677,0.313054025132677,0.379924670911596,0.345170813453845
"SNAIL1",-0.379924670911596,-0.379924670911596,-0.379924670911596,-0.379924670911596,-0.379924670911596,-0.370263949076623,-0.345170813453845,0.105094097946511,0.37707156684025,0.345170813453845,0.345170813453845,0.410808780827964,0.379924670911596
"HAS2",-0.662856509414541,-0.662856509414541,-0.662856509414541,-0.662856509414541,-0.662856509414541,-0.625452062588905,-0.581413210445468,0.171207390059849,0.563626981893236,0.681413210445468,0.581413210445468,0.750026320735295,0.662856509414541
"ZEB1",-0.827641892511451,-0.827641892511451,-0.827641892511451,-0.827641892511451,-0.827641892511451,-0.770948821955653,-0.750026320735295,0.244160939577816,0.722940102120061,0.750026320735295,0.750026320735295,0.806943479813038,0.827641892511451
"HA",-0.750026320735295,-0.750026320735295,-0.750026320735295,-0.750026320735295,-0.750026320735295,-0.69968519142326,-0.662856509414541,0.21844665386353,0.642906261172515,0.662856509414541,0.662856509414541,0.827641892511451,0.750026320735295
"CD44s",-0.750026320735295,-0.750026320735295,-0.750026320735295,-0.750026320735295,-0.750026320735295,-0.69968519142326,-0.662856509414541,0.21844665386353,0.642906261172515,0.662856509414541,0.662856509414541,0.827641892511451,0.750026320735295
