"","MIR340","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","SNAIL1","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.822917242217624,0.822917242217624,0.822917242217624,0.822917242217624,0.848119554356352,0.7467458774874,0.7467458774874,-0.325080333576247,-0.748119554356352,-0.748119554356352,-0.895835814953214,-0.822917242217624
"MIR340",0.716759091623448,0.716759091623448,0.716759091623448,0.716759091623448,0.645559091623448,0.622448703524221,0.622448703524221,-0.216025152920064,-0.645559091623448,-0.645559091623448,-0.790365754019348,-0.716759091623448
"MIR200",0.716759091623448,0.716759091623448,0.716759091623448,0.716759091623448,0.645559091623448,0.622448703524221,0.622448703524221,-0.216025152920064,-0.645559091623448,-0.645559091623448,-0.790365754019348,-0.716759091623448
"MIR1199",0.716759091623448,0.716759091623448,0.716759091623448,0.716759091623448,0.645559091623448,0.622448703524221,0.622448703524221,-0.216025152920064,-0.645559091623448,-0.645559091623448,-0.790365754019348,-0.716759091623448
"CD24",0.716759091623448,0.716759091623448,0.716759091623448,0.716759091623448,0.645559091623448,0.622448703524221,0.622448703524221,-0.216025152920064,-0.645559091623448,-0.645559091623448,-0.790365754019348,-0.716759091623448
"ESRP1",0.645559091623448,0.645559091623448,0.645559091623448,0.645559091623448,0.561392424956781,0.55784062751472,0.55784062751472,-0.195950803477685,-0.561392424956781,-0.661392424956781,-0.716759091623448,-0.645559091623448
"MIR34",0.325080333576247,0.325080333576247,0.325080333576247,0.325080333576247,0.2976631150332,0.312733598327348,0.312733598327348,-0.147748413544688,-0.2976631150332,-0.2976631150332,-0.353443211574161,-0.325080333576247
"SNAIL1",-0.353443211574161,-0.353443211574161,-0.353443211574161,-0.353443211574161,-0.325080333576247,-0.337251717062892,-0.337251717062892,0.0559837076623346,0.325080333576247,0.325080333576247,0.379312732051626,0.353443211574161
"HAS2",-0.645559091623448,-0.645559091623448,-0.645559091623448,-0.645559091623448,-0.561392424956781,-0.55784062751472,-0.55784062751472,0.195950803477685,0.661392424956781,0.561392424956781,0.716759091623448,0.645559091623448
"ZEB1",-0.790365754019348,-0.790365754019348,-0.790365754019348,-0.790365754019348,-0.716759091623448,-0.682334363362239,-0.682334363362239,0.247619355818615,0.716759091623448,0.716759091623448,0.755598458421864,0.790365754019348
"HA",-0.716759091623448,-0.716759091623448,-0.716759091623448,-0.716759091623448,-0.645559091623448,-0.622448703524221,-0.622448703524221,0.216025152920064,0.645559091623448,0.645559091623448,0.790365754019348,0.716759091623448
"CD44s",-0.716759091623448,-0.716759091623448,-0.716759091623448,-0.716759091623448,-0.645559091623448,-0.622448703524221,-0.622448703524221,0.216025152920064,0.645559091623448,0.645559091623448,0.790365754019348,0.716759091623448
