"","MIR340","MIR190","MIR1199","ESRP1","MIR34","MIR200","SNAIL1","TGFB","ZEB1","HA","CD44s","HAS2"
"MIR340",0.64318200100553,0.64318200100553,0.64318200100553,0.64318200100553,0.536323602854703,0.536323602854703,-0.317967080944297,-0.528976592240286,-0.689496832670681,-0.588883358471594,-0.588883358471594,-0.64318200100553
"MIR1199",0.64318200100553,0.64318200100553,0.64318200100553,0.64318200100553,0.536323602854703,0.536323602854703,-0.317967080944297,-0.528976592240286,-0.689496832670681,-0.588883358471594,-0.588883358471594,-0.64318200100553
"ESRP1",0.588883358471594,0.588883358471594,0.588883358471594,0.588883358471594,0.495534129170493,0.495534129170493,-0.295442328469049,-0.477798862047567,-0.64318200100553,-0.530059829059829,-0.630059829059829,-0.588883358471594
"MIR200",0.54216724412759,0.54216724412759,0.54216724412759,0.54216724412759,0.540256363115207,0.540256363115207,-0.293200769401368,-0.642217391304348,-0.578704592129907,-0.498028315039313,-0.498028315039313,-0.54216724412759
"MIR34",0.293108353983081,0.293108353983081,0.293108353983081,0.293108353983081,0.281321245573286,0.281321245573286,-0.160247198337065,-0.302812746330534,-0.312327005526875,-0.273681602390725,-0.273681602390725,-0.293108353983081
"MIR190",0.273681602390725,0.273681602390725,0.273681602390725,0.273681602390725,0.265251456776225,0.265251456776225,-0.153190399714001,-0.381814214759315,-0.293108353983081,-0.247577184720042,-0.247577184720042,-0.273681602390725
"TGFB",-0.293108353983081,-0.293108353983081,-0.293108353983081,-0.293108353983081,-0.281321245573286,-0.281321245573286,0.160247198337065,0.302812746330534,0.312327005526875,0.273681602390725,0.273681602390725,0.293108353983081
"SNAIL1",-0.312327005526875,-0.312327005526875,-0.312327005526875,-0.312327005526875,-0.295399092062919,-0.295399092062919,0.0682963115703526,0.320110358444686,0.32808231139454,0.293108353983081,0.293108353983081,0.312327005526875
"ZEB1",-0.689496832670681,-0.689496832670681,-0.689496832670681,-0.689496832670681,-0.572558526819045,-0.572558526819045,0.336001478978695,0.574733663787707,0.631473910034577,0.64318200100553,0.64318200100553,0.689496832670681
"HAS2",-0.588883358471594,-0.588883358471594,-0.588883358471594,-0.588883358471594,-0.495534129170493,-0.495534129170493,0.295442328469049,0.477798862047567,0.64318200100553,0.630059829059829,0.530059829059829,0.588883358471594
"HA",-0.64318200100553,-0.64318200100553,-0.64318200100553,-0.64318200100553,-0.536323602854703,-0.536323602854703,0.317967080944297,0.528976592240286,0.689496832670681,0.588883358471594,0.588883358471594,0.64318200100553
"CD44s",-0.64318200100553,-0.64318200100553,-0.64318200100553,-0.64318200100553,-0.536323602854703,-0.536323602854703,0.317967080944297,0.528976592240286,0.689496832670681,0.588883358471594,0.588883358471594,0.64318200100553
