"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","SNAIL1","TGFB","ZEB1","HA","CD44s","HAS2"
"GRHL2",0.666058423617229,0.666058423617229,0.666058423617229,0.666058423617229,0.666058423617229,0.723300401067359,0.509264374041072,0.509264374041072,0.077884679163834,-0.540824306386269,-0.700542305089062,-0.623300401067359,-0.623300401067359,-0.666058423617229
"MIR340",0.530955028125787,0.530955028125787,0.530955028125787,0.530955028125787,0.530955028125787,0.48671973400814,0.40346078471198,0.40346078471198,0.0568475339210699,-0.424665185339008,-0.561706941678241,-0.48671973400814,-0.48671973400814,-0.530955028125787
"MIR1199",0.530955028125787,0.530955028125787,0.530955028125787,0.530955028125787,0.530955028125787,0.48671973400814,0.40346078471198,0.40346078471198,0.0568475339210699,-0.424665185339008,-0.561706941678241,-0.48671973400814,-0.48671973400814,-0.530955028125787
"CD24",0.530955028125787,0.530955028125787,0.530955028125787,0.530955028125787,0.530955028125787,0.48671973400814,0.40346078471198,0.40346078471198,0.0568475339210699,-0.424665185339008,-0.561706941678241,-0.48671973400814,-0.48671973400814,-0.530955028125787
"ESRP1",0.48671973400814,0.48671973400814,0.48671973400814,0.48671973400814,0.48671973400814,0.448105872622002,0.378099017766054,0.378099017766054,0.0612440167348188,-0.392357493031316,-0.530955028125787,-0.448105872622002,-0.548105872622002,-0.48671973400814
"MIR200",0.469003908863419,0.469003908863419,0.469003908863419,0.469003908863419,0.469003908863419,0.432602922832195,0.432204406277422,0.432204406277422,-0.0309198354047676,-0.561210097119945,-0.494152299991191,-0.432602922832195,-0.432602922832195,-0.469003908863419
"MIR190",0.224381247503543,0.224381247503543,0.224381247503543,0.224381247503543,0.224381247503543,0.206125116713352,0.181122759492528,0.181122759492528,-0.0120422831445086,-0.317548886543005,-0.236830227095379,-0.206125116713352,-0.206125116713352,-0.224381247503543
"TGFB",-0.236830227095379,-0.236830227095379,-0.236830227095379,-0.236830227095379,-0.236830227095379,-0.224381247503543,-0.189206201474275,-0.189206201474275,0.0112303751607468,0.230924682721349,0.249164192939782,0.224381247503543,0.224381247503543,0.236830227095379
"MIR34",-0.236830227095379,-0.236830227095379,-0.236830227095379,-0.236830227095379,-0.236830227095379,-0.224381247503543,-0.189206201474275,-0.189206201474275,0.0112303751607468,0.230924682721349,0.249164192939782,0.224381247503543,0.224381247503543,0.236830227095379
"SNAIL1",-0.249164192939782,-0.249164192939782,-0.249164192939782,-0.249164192939782,-0.249164192939782,-0.236830227095379,-0.196816218493482,-0.196816218493482,-0.0884155530132542,0.240709885585311,0.258791301971399,0.236830227095379,0.236830227095379,0.249164192939782
"ZEB1",-0.561706941678241,-0.561706941678241,-0.561706941678241,-0.561706941678241,-0.561706941678241,-0.530955028125787,-0.424716545080643,-0.424716545080643,-0.0609145195670029,0.457443733651537,0.492704783285414,0.530955028125787,0.530955028125787,0.561706941678241
"HAS2",-0.48671973400814,-0.48671973400814,-0.48671973400814,-0.48671973400814,-0.48671973400814,-0.448105872622002,-0.378099017766054,-0.378099017766054,-0.0612440167348188,0.392357493031316,0.530955028125787,0.548105872622002,0.448105872622002,0.48671973400814
"HA",-0.530955028125787,-0.530955028125787,-0.530955028125787,-0.530955028125787,-0.530955028125787,-0.48671973400814,-0.40346078471198,-0.40346078471198,-0.0568475339210699,0.424665185339008,0.561706941678241,0.48671973400814,0.48671973400814,0.530955028125787
"CD44s",-0.530955028125787,-0.530955028125787,-0.530955028125787,-0.530955028125787,-0.530955028125787,-0.48671973400814,-0.40346078471198,-0.40346078471198,-0.0568475339210699,0.424665185339008,0.561706941678241,0.48671973400814,0.48671973400814,0.530955028125787
