"","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","SNAIL1","TGFB","ZEB1","HA","CD44s","HAS2"
"GRHL2",0.771017108055013,0.771017108055013,0.771017108055013,0.771017108055013,0.810796113579875,0.675151811152649,0.675151811152649,-0.346462691893862,-0.659861607253351,-0.824755677178198,-0.710796113579875,-0.710796113579875,-0.771017108055013
"MIR1199",0.660081743009169,0.660081743009169,0.660081743009169,0.660081743009169,0.601314883664275,0.55730123460662,0.55730123460662,-0.327286427210039,-0.545736790319949,-0.711872787785288,-0.601314883664275,-0.601314883664275,-0.660081743009169
"CD24",0.660081743009169,0.660081743009169,0.660081743009169,0.660081743009169,0.601314883664275,0.55730123460662,0.55730123460662,-0.327286427210039,-0.545736790319949,-0.711872787785288,-0.601314883664275,-0.601314883664275,-0.660081743009169
"ESRP1",0.601314883664275,0.601314883664275,0.601314883664275,0.601314883664275,0.537412444639884,0.512473648399723,0.512473648399723,-0.303033935515687,-0.489612475877536,-0.660081743009169,-0.537412444639884,-0.637412444639884,-0.601314883664275
"MIR200",0.566139197635902,0.566139197635902,0.566139197635902,0.566139197635902,0.518598214029345,0.558534862777057,0.558534862777057,-0.301082092617714,-0.659533326001225,-0.60787917808556,-0.518598214029345,-0.518598214029345,-0.566139197635902
"MIR34",0.30429509803983,0.30429509803983,0.30429509803983,0.30429509803983,0.281632208521417,0.289622670442269,0.289622670442269,-0.163614816299756,-0.309511183759905,-0.325112326090631,-0.281632208521417,-0.281632208521417,-0.30429509803983
"MIR190",0.281632208521417,0.281632208521417,0.281632208521417,0.281632208521417,0.255354836258643,0.271072923393365,0.271072923393365,-0.15564733662496,-0.388043792455557,-0.30429509803983,-0.255354836258643,-0.255354836258643,-0.281632208521417
"TGFB",-0.30429509803983,-0.30429509803983,-0.30429509803983,-0.30429509803983,-0.281632208521417,-0.289622670442269,-0.289622670442269,0.163614816299756,0.309511183759905,0.325112326090631,0.281632208521417,0.281632208521417,0.30429509803983
"SNAIL1",-0.325112326090631,-0.325112326090631,-0.325112326090631,-0.325112326090631,-0.30429509803983,-0.305242532329806,-0.305242532329806,0.0724980650307207,0.329595750356099,0.34347791748848,0.30429509803983,0.30429509803983,0.325112326090631
"ZEB1",-0.711872787785288,-0.711872787785288,-0.711872787785288,-0.711872787785288,-0.660081743009169,-0.598005648338229,-0.598005648338229,0.347889875485902,0.59577278744018,0.65892474341868,0.660081743009169,0.660081743009169,0.711872787785288
"HAS2",-0.601314883664275,-0.601314883664275,-0.601314883664275,-0.601314883664275,-0.537412444639884,-0.512473648399723,-0.512473648399723,0.303033935515687,0.489612475877536,0.660081743009169,0.637412444639884,0.537412444639884,0.601314883664275
"HA",-0.660081743009169,-0.660081743009169,-0.660081743009169,-0.660081743009169,-0.601314883664275,-0.55730123460662,-0.55730123460662,0.327286427210039,0.545736790319949,0.711872787785288,0.601314883664275,0.601314883664275,0.660081743009169
"CD44s",-0.660081743009169,-0.660081743009169,-0.660081743009169,-0.660081743009169,-0.601314883664275,-0.55730123460662,-0.55730123460662,0.327286427210039,0.545736790319949,0.711872787785288,0.601314883664275,0.601314883664275,0.660081743009169
