"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","TGFB","SNAIL1","ZEB1","HA","CD44s","HAS2"
"GRHL2",0.755537484095699,0.755537484095699,0.755537484095699,0.755537484095699,0.755537484095699,0.800290302829437,0.635198304322946,0.635198304322946,0.0285961856330823,-0.21499243421686,-0.807279587645031,-0.700290302829437,-0.700290302829437,-0.755537484095699
"MIR340",0.645574133621215,0.645574133621215,0.645574133621215,0.645574133621215,0.645574133621215,0.594515310091803,0.506989447526914,0.506989447526914,0.018767484905654,-0.194680566817014,-0.697577735602305,-0.594515310091803,-0.594515310091803,-0.645574133621215
"MIR1199",0.645574133621215,0.645574133621215,0.645574133621215,0.645574133621215,0.645574133621215,0.594515310091803,0.506989447526914,0.506989447526914,0.018767484905654,-0.194680566817014,-0.697577735602305,-0.594515310091803,-0.594515310091803,-0.645574133621215
"CD24",0.645574133621215,0.645574133621215,0.645574133621215,0.645574133621215,0.645574133621215,0.594515310091803,0.506989447526914,0.506989447526914,0.018767484905654,-0.194680566817014,-0.697577735602305,-0.594515310091803,-0.594515310091803,-0.645574133621215
"ESRP1",0.594515310091803,0.594515310091803,0.594515310091803,0.594515310091803,0.594515310091803,0.527518610421836,0.465329127648773,0.465329127648773,0.0192803054184745,-0.189964339798629,-0.645574133621215,-0.527518610421836,-0.627518610421836,-0.594515310091803
"MIR200",0.421022846484609,0.421022846484609,0.421022846484609,0.421022846484609,0.421022846484609,0.394317834159218,0.232463025974856,0.232463025974856,0.0113749337852705,-0.0267590030902668,-0.451731999874175,-0.394317834159218,-0.394317834159218,-0.421022846484609
"MIR34",0.291926051680133,0.291926051680133,0.291926051680133,0.291926051680133,0.291926051680133,0.27437503127197,0.265527966723365,0.265527966723365,0.0963991892670955,-0.100321059499596,-0.312836867619412,-0.27437503127197,-0.27437503127197,-0.291926051680133
"MIR190",0.27437503127197,0.27437503127197,0.27437503127197,0.27437503127197,0.27437503127197,0.244674758792406,0.250925619917629,0.250925619917629,-0.0029638680577453,-0.0980206535456044,-0.291926051680133,-0.244674758792406,-0.244674758792406,-0.27437503127197
"TGFB",-0.291926051680133,-0.291926051680133,-0.291926051680133,-0.291926051680133,-0.291926051680133,-0.27437503127197,-0.265527966723365,-0.265527966723365,-0.0963991892670955,0.100321059499596,0.312836867619412,0.27437503127197,0.27437503127197,0.291926051680133
"SNAIL1",-0.312836867619412,-0.312836867619412,-0.312836867619412,-0.312836867619412,-0.312836867619412,-0.291926051680133,-0.279751161471724,-0.279751161471724,-0.0984676061326484,0.00527806506358214,0.328447246181726,0.291926051680133,0.291926051680133,0.312836867619412
"ZEB1",-0.697577735602305,-0.697577735602305,-0.697577735602305,-0.697577735602305,-0.697577735602305,-0.645574133621215,-0.541954885314933,-0.541954885314933,-0.0239917105182291,0.209393485477301,0.63936754134695,0.645574133621215,0.645574133621215,0.697577735602305
"HAS2",-0.594515310091803,-0.594515310091803,-0.594515310091803,-0.594515310091803,-0.594515310091803,-0.527518610421836,-0.465329127648773,-0.465329127648773,-0.0192803054184745,0.189964339798629,0.645574133621215,0.627518610421836,0.527518610421836,0.594515310091803
"HA",-0.645574133621215,-0.645574133621215,-0.645574133621215,-0.645574133621215,-0.645574133621215,-0.594515310091803,-0.506989447526914,-0.506989447526914,-0.018767484905654,0.194680566817014,0.697577735602305,0.594515310091803,0.594515310091803,0.645574133621215
"CD44s",-0.645574133621215,-0.645574133621215,-0.645574133621215,-0.645574133621215,-0.645574133621215,-0.594515310091803,-0.506989447526914,-0.506989447526914,-0.018767484905654,0.194680566817014,0.697577735602305,0.594515310091803,0.594515310091803,0.645574133621215
