"","MIR340","MIR34","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR200","SNAIL1","TGFB","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.80823404299712,0.80823404299712,0.80823404299712,0.80823404299712,0.80823404299712,0.80823404299712,0.836158571299007,0.726788972870067,-0.382224200912738,-0.694725856279494,-0.736158571299007,-0.736158571299007,-0.87554243384347,-0.80823404299712
"MIR340",0.701003292892385,0.701003292892385,0.701003292892385,0.701003292892385,0.701003292892385,0.701003292892385,0.629574721463813,0.611021930344363,-0.365390760854721,-0.582127086415075,-0.629574721463813,-0.629574721463813,-0.766691552001696,-0.701003292892385
"MIR1199",0.701003292892385,0.701003292892385,0.701003292892385,0.701003292892385,0.701003292892385,0.701003292892385,0.629574721463813,0.611021930344363,-0.365390760854721,-0.582127086415075,-0.629574721463813,-0.629574721463813,-0.766691552001696,-0.701003292892385
"CD24",0.701003292892385,0.701003292892385,0.701003292892385,0.701003292892385,0.701003292892385,0.701003292892385,0.629574721463813,0.611021930344363,-0.365390760854721,-0.582127086415075,-0.629574721463813,-0.629574721463813,-0.766691552001696,-0.701003292892385
"ESRP1",0.629574721463813,0.629574721463813,0.629574721463813,0.629574721463813,0.629574721463813,0.629574721463813,0.555723131357806,0.551447462259257,-0.332563025210084,-0.514890619178608,-0.555723131357806,-0.655723131357806,-0.701003292892385,-0.629574721463813
"MIR200",0.617605016435133,0.617605016435133,0.617605016435133,0.617605016435133,0.617605016435133,0.617605016435133,0.555745433892438,0.626069868589766,-0.348099799905322,-0.707794160749921,-0.555745433892438,-0.555745433892438,-0.674133206346112,-0.617605016435133
"MIR34",0.343108449302647,0.343108449302647,0.343108449302647,0.343108449302647,0.343108449302647,0.343108449302647,0.311719560413758,0.332504849125865,-0.223467227712618,-0.341394360227758,-0.311719560413758,-0.311719560413758,-0.373612428082488,-0.343108449302647
"MIR190",0.311719560413758,0.311719560413758,0.311719560413758,0.311719560413758,0.311719560413758,0.311719560413758,0.276701509872242,0.305559877588863,-0.209444239206871,-0.410309316239488,-0.276701509872242,-0.276701509872242,-0.343108449302647,-0.311719560413758
"TGFB",-0.343108449302647,-0.343108449302647,-0.343108449302647,-0.343108449302647,-0.343108449302647,-0.343108449302647,-0.311719560413758,-0.332504849125865,0.223467227712618,0.341394360227758,0.311719560413758,0.311719560413758,0.373612428082488,0.343108449302647
"SNAIL1",-0.373612428082488,-0.373612428082488,-0.373612428082488,-0.373612428082488,-0.373612428082488,-0.373612428082488,-0.343108449302647,-0.357804304661255,0.137375678416843,0.370142950983113,0.343108449302647,0.343108449302647,0.401588013026536,0.373612428082488
"HAS2",-0.629574721463813,-0.629574721463813,-0.629574721463813,-0.629574721463813,-0.629574721463813,-0.629574721463813,-0.555723131357806,-0.551447462259257,0.332563025210084,0.514890619178608,0.655723131357806,0.555723131357806,0.701003292892385,0.629574721463813
"ZEB1",-0.766691552001696,-0.766691552001696,-0.766691552001696,-0.766691552001696,-0.766691552001696,-0.766691552001696,-0.701003292892385,-0.666247870323667,0.39553230956413,0.646536535233973,0.701003292892385,0.701003292892385,0.729146149592979,0.766691552001696
"HA",-0.701003292892385,-0.701003292892385,-0.701003292892385,-0.701003292892385,-0.701003292892385,-0.701003292892385,-0.629574721463813,-0.611021930344363,0.365390760854721,0.582127086415075,0.629574721463813,0.629574721463813,0.766691552001696,0.701003292892385
"CD44s",-0.701003292892385,-0.701003292892385,-0.701003292892385,-0.701003292892385,-0.701003292892385,-0.701003292892385,-0.629574721463813,-0.611021930344363,0.365390760854721,0.582127086415075,0.629574721463813,0.629574721463813,0.766691552001696,0.701003292892385
