"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","MIR34","MIR200","SNAIL1","TGFB","HA","CD44s","ZEB1","HAS2"
"MIR340",0.680118175522575,0.680118175522575,0.680118175522575,0.680118175522575,0.680118175522575,0.575818699099364,0.575818699099364,-0.343551924461335,-0.557766944176044,-0.615224558501299,-0.615224558501299,-0.736091626850009,-0.680118175522575
"MIR1199",0.680118175522575,0.680118175522575,0.680118175522575,0.680118175522575,0.680118175522575,0.575818699099364,0.575818699099364,-0.343551924461335,-0.557766944176044,-0.615224558501299,-0.615224558501299,-0.736091626850009,-0.680118175522575
"GRHL2",0.680118175522575,0.680118175522575,0.680118175522575,0.680118175522575,0.680118175522575,0.575818699099364,0.575818699099364,-0.343551924461335,-0.557766944176044,-0.615224558501299,-0.615224558501299,-0.736091626850009,-0.680118175522575
"ESRP1",0.615224558501299,0.615224558501299,0.615224558501299,0.615224558501299,0.615224558501299,0.524458154881676,0.524458154881676,-0.316488925348646,-0.499230358810191,-0.5484229390681,-0.6484229390681,-0.680118175522575,-0.615224558501299
"MIR200",0.579444138454182,0.579444138454182,0.579444138454182,0.579444138454182,0.579444138454182,0.58470820577207,0.58470820577207,-0.317377758224302,-0.67461330280394,-0.524214780656017,-0.524214780656017,-0.624356549933869,-0.579444138454182
"MIR34",0.314380004431626,0.314380004431626,0.314380004431626,0.314380004431626,0.314380004431626,0.303470657020557,0.303470657020557,-0.170953422243582,-0.323074255843312,-0.292322861574483,-0.292322861574483,-0.340150552376831,-0.314380004431626
"MIR190",0.292322861574483,0.292322861574483,0.292322861574483,0.292322861574483,0.292322861574483,0.284862702475103,0.284862702475103,-0.161239136529296,-0.394746610792118,-0.258595050923595,-0.258595050923595,-0.314380004431626,-0.292322861574483
"TGFB",-0.314380004431626,-0.314380004431626,-0.314380004431626,-0.314380004431626,-0.314380004431626,-0.303470657020557,-0.303470657020557,0.170953422243582,0.323074255843312,0.292322861574483,0.292322861574483,0.340150552376831,0.314380004431626
"SNAIL1",-0.340150552376831,-0.340150552376831,-0.340150552376831,-0.340150552376831,-0.340150552376831,-0.323224404343898,-0.323224404343898,0.0811242928701077,0.343004172619484,0.314380004431626,0.314380004431626,0.359875548284508,0.340150552376831
"HAS2",-0.615224558501299,-0.615224558501299,-0.615224558501299,-0.615224558501299,-0.615224558501299,-0.524458154881676,-0.524458154881676,0.316488925348646,0.499230358810191,0.6484229390681,0.5484229390681,0.680118175522575,0.615224558501299
"ZEB1",-0.736091626850009,-0.736091626850009,-0.736091626850009,-0.736091626850009,-0.736091626850009,-0.620690930785905,-0.620690930785905,0.366634046799963,0.614405948325422,0.680118175522575,0.680118175522575,0.68958460132062,0.736091626850009
"HA",-0.680118175522575,-0.680118175522575,-0.680118175522575,-0.680118175522575,-0.680118175522575,-0.575818699099364,-0.575818699099364,0.343551924461335,0.557766944176044,0.615224558501299,0.615224558501299,0.736091626850009,0.680118175522575
"CD44s",-0.680118175522575,-0.680118175522575,-0.680118175522575,-0.680118175522575,-0.680118175522575,-0.575818699099364,-0.575818699099364,0.343551924461335,0.557766944176044,0.615224558501299,0.615224558501299,0.736091626850009,0.680118175522575
