"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","MIR200","CD24","MIR34","SNAIL1","TGFB","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.852697961780115,0.852697961780115,0.852697961780115,0.852697961780115,0.852697961780115,0.792816131637989,0.868529096344758,0.26108872354179,-0.29858872354179,-0.743216675815873,-0.768529096344759,-0.768529096344759,-0.929043193532912,-0.852697961780115
"MIR340",0.745883687713908,0.745883687713908,0.745883687713908,0.745883687713908,0.745883687713908,0.686342383107089,0.659503759398496,0.14618406285073,-0.19685670859064,-0.637846490320498,-0.659503759398496,-0.659503759398496,-0.81798376352892,-0.745883687713908
"MIR1199",0.745883687713908,0.745883687713908,0.745883687713908,0.745883687713908,0.745883687713908,0.686342383107089,0.659503759398496,0.14618406285073,-0.19685670859064,-0.637846490320498,-0.659503759398496,-0.659503759398496,-0.81798376352892,-0.745883687713908
"CD24",0.745883687713908,0.745883687713908,0.745883687713908,0.745883687713908,0.745883687713908,0.686342383107089,0.659503759398496,0.14618406285073,-0.19685670859064,-0.637846490320498,-0.659503759398496,-0.659503759398496,-0.81798376352892,-0.745883687713908
"ESRP1",0.659503759398496,0.659503759398496,0.659503759398496,0.659503759398496,0.659503759398496,0.619120160884867,0.581503759398496,0.144949494949495,-0.14618406285073,-0.560727846252702,-0.581503759398496,-0.681503759398496,-0.745883687713908,-0.659503759398496
"MIR200",0.619151928087957,0.619151928087957,0.619151928087957,0.619151928087957,0.619151928087957,0.638613290689747,0.550010396765451,0.143074776187633,-0.184729755149765,-0.716958671384203,-0.550010396765451,-0.550010396765451,-0.673618786877582,-0.619151928087957
"MIR34",0.322572996149916,0.322572996149916,0.322572996149916,0.322572996149916,0.322572996149916,0.312339523006031,0.29858872354179,0.133850850052994,-0.132171460740017,-0.328857575780305,-0.29858872354179,-0.29858872354179,-0.353263006448577,-0.322572996149916
"MIR190",0.29858872354179,0.29858872354179,0.29858872354179,0.29858872354179,0.29858872354179,0.287679328831274,0.26108872354179,0.107259089753369,-0.133850850052994,-0.398689978014942,-0.26108872354179,-0.26108872354179,-0.322572996149916,-0.29858872354179
"TGFB",-0.322572996149916,-0.322572996149916,-0.322572996149916,-0.322572996149916,-0.322572996149916,-0.312339523006031,-0.29858872354179,-0.133850850052994,0.132171460740017,0.328857575780305,0.29858872354179,0.29858872354179,0.353263006448577,0.322572996149916
"SNAIL1",-0.353263006448577,-0.353263006448577,-0.353263006448577,-0.353263006448577,-0.353263006448577,-0.334865514534718,-0.322572996149916,-0.132171460740017,0.0503643789329355,0.353230135735687,0.322572996149916,0.322572996149916,0.376472175503018,0.353263006448577
"HAS2",-0.659503759398496,-0.659503759398496,-0.659503759398496,-0.659503759398496,-0.659503759398496,-0.619120160884867,-0.581503759398496,-0.144949494949495,0.14618406285073,0.560727846252702,0.681503759398496,0.581503759398496,0.745883687713908,0.659503759398496
"ZEB1",-0.81798376352892,-0.81798376352892,-0.81798376352892,-0.81798376352892,-0.81798376352892,-0.753027935515021,-0.745883687713908,-0.19685670859064,0.209819671553603,0.713433344780592,0.745883687713908,0.745883687713908,0.794262833296362,0.81798376352892
"HA",-0.745883687713908,-0.745883687713908,-0.745883687713908,-0.745883687713908,-0.745883687713908,-0.686342383107089,-0.659503759398496,-0.14618406285073,0.19685670859064,0.637846490320498,0.659503759398496,0.659503759398496,0.81798376352892,0.745883687713908
"CD44s",-0.745883687713908,-0.745883687713908,-0.745883687713908,-0.745883687713908,-0.745883687713908,-0.686342383107089,-0.659503759398496,-0.14618406285073,0.19685670859064,0.637846490320498,0.659503759398496,0.659503759398496,0.81798376352892,0.745883687713908
